State,City,District,Crime Type,Date & Time,Latitude,Longitude,Accused Age,Accused Gender,Prior Convictions,Victim Age,Victim Gender,Victim Relationship,FIR Filed,Case Status
Maharashtra,Thane,Thane,Murder,6/15/2023 19:01,19.2183,72.9781,32,Male,1,25,Female,Friend,Yes,Solved
Tamil Nadu,Coimbatore,Coimbatore,Burglary,2/21/2021 14:14,11.0168,76.9558,40,Male,0,11,Female,Friend,No,Ongoing
Maharashtra,Nagpur,Nagpur,Murder,11/1/2021 22:30,21.1458,79.0882,30,Male,1,24,Female,Neighbor,No,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,10/13/2022 16:35,26.4499,80.3319,44,Male,5,46,Female,Friend,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Assault,1/20/2021 1:40,25.3176,82.9739,49,Male,0,40,Female,Colleague,Yes,Ongoing
Uttar Pradesh,Gosainganj,Lucknow,Assault,2/7/2022 23:04,26.8467,80.9462,47,Male,5,50,Male,Friend,Yes,Unsolved
Uttar Pradesh,Agra,Agra,Fraud,8/1/2024 7:08,27.1767,78.0081,42,Female,5,62,Female,Family,No,Unsolved
Maharashtra,Nagpur,Nagpur,Theft,8/31/2023 6:50,21.1458,79.0882,35,Female,0,22,Male,Neighbor,No,Unsolved
Maharashtra,Thane,Thane,Assault,6/26/2022 14:33,19.2183,72.9781,34,Female,3,78,Male,Neighbor,Yes,Solved
Uttar Pradesh,Barabanki,Lucknow,Murder,3/29/2023 11:58,26.8467,80.9462,57,Male,5,7,Male,Friend,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Assault,6/30/2020 18:40,11.0168,76.9558,29,Male,3,19,Male,Stranger,Yes,Ongoing
Maharashtra,Pune,Pune,Kidnapping,7/3/2020 22:59,18.5204,73.8567,58,Female,5,27,Female,Colleague,Yes,Ongoing
Maharashtra,Thane,Thane,Murder,7/7/2021 3:27,19.2183,72.9781,37,Female,1,17,Male,Colleague,No,Solved
Maharashtra,Bhiwandi,Mumbai,Fraud,3/12/2021 3:28,19.076,72.8777,53,Female,1,55,Female,Neighbor,Yes,Unsolved
Maharashtra,Nagpur,Nagpur,Theft,8/6/2021 18:35,21.1458,79.0882,40,Male,4,47,Female,Colleague,No,Ongoing
Maharashtra,Thane,Mumbai,Theft,11/12/2021 2:40,19.076,72.8777,41,Female,5,42,Female,Friend,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Theft,3/7/2020 18:44,26.4499,80.3319,28,Female,5,19,Male,Family,No,Solved
Maharashtra,Navi Mumbai,Mumbai,Assault,10/6/2020 22:53,19.076,72.8777,18,Female,1,46,Male,Family,Yes,Solved
Maharashtra,Nagpur,Nagpur,Burglary,1/1/2024 6:13,21.1458,79.0882,58,Male,3,30,Male,Friend,No,Ongoing
Uttar Pradesh,Kanpur,Kanpur Nagar,Burglary,12/20/2021 2:12,26.4499,80.3319,53,Male,3,10,Male,Friend,No,Solved
Maharashtra,Dombivli,Mumbai,Fraud,12/18/2022 18:13,19.076,72.8777,27,Female,2,26,Female,Colleague,No,Unsolved
Maharashtra,Thane,Thane,Assault,11/8/2020 2:53,19.2183,72.9781,56,Female,0,17,Male,Stranger,No,Unsolved
Uttar Pradesh,Malihabad,Lucknow,Theft,5/18/2022 16:29,26.8467,80.9462,29,Female,2,51,Male,Colleague,No,Solved
Maharashtra,Nagpur,Nagpur,Theft,8/1/2024 9:24,21.1458,79.0882,28,Female,3,9,Female,Family,Yes,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,10/25/2020 6:26,26.4499,80.3319,20,Male,2,68,Male,Colleague,No,Solved
Uttar Pradesh,Agra,Agra,Kidnapping,9/24/2021 2:12,27.1767,78.0081,27,Female,4,22,Female,Friend,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Assault,5/22/2021 14:03,13.0827,80.2707,28,Male,0,65,Male,Stranger,Yes,Solved
Uttar Pradesh,Varanasi,Varanasi,Theft,11/19/2023 23:52,25.3176,82.9739,38,Female,0,72,Female,Friend,No,Solved
Maharashtra,Nagpur,Nagpur,Kidnapping,12/17/2022 8:35,21.1458,79.0882,24,Female,1,43,Male,Family,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Burglary,7/9/2023 0:23,11.0168,76.9558,53,Female,5,47,Female,Neighbor,No,Solved
Maharashtra,Nagpur,Nagpur,Fraud,5/10/2021 23:08,21.1458,79.0882,24,Female,0,44,Female,Friend,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Kidnapping,2/6/2023 18:10,13.0827,80.2707,60,Male,5,64,Female,Family,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,11/24/2024 2:14,26.4499,80.3319,46,Female,5,71,Female,Neighbor,No,Unsolved
Maharashtra,Nagpur,Nagpur,Fraud,6/4/2021 13:56,21.1458,79.0882,40,Male,5,78,Female,Stranger,Yes,Unsolved
Maharashtra,Nagpur,Nagpur,Murder,2/13/2024 13:46,21.1458,79.0882,58,Female,5,8,Female,Stranger,Yes,Solved
Tamil Nadu,Chennai,Chennai,Fraud,7/13/2023 19:24,13.0827,80.2707,49,Male,2,68,Male,Family,Yes,Ongoing
Maharashtra,Vasai,Mumbai,Murder,8/18/2020 7:44,19.076,72.8777,41,Male,4,72,Female,Neighbor,No,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Theft,12/11/2022 4:05,25.3176,82.9739,49,Male,1,43,Female,Colleague,Yes,Solved
Uttar Pradesh,Mohanlalganj,Lucknow,Murder,9/5/2022 5:55,26.8467,80.9462,41,Male,3,13,Female,Stranger,No,Solved
Maharashtra,Thane,Thane,Assault,7/16/2020 11:15,19.2183,72.9781,32,Male,2,47,Male,Stranger,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Murder,1/3/2021 2:35,11.0168,76.9558,32,Female,2,61,Female,Colleague,No,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Kidnapping,10/7/2023 13:31,25.3176,82.9739,28,Female,4,32,Female,Colleague,Yes,Ongoing
Uttar Pradesh,Kanpur,Kanpur Nagar,Fraud,12/7/2022 9:53,26.4499,80.3319,28,Male,4,22,Female,Friend,Yes,Solved
Maharashtra,Thane,Thane,Burglary,2/5/2023 8:31,19.2183,72.9781,18,Female,1,13,Female,Neighbor,Yes,Solved
Maharashtra,Thane,Thane,Assault,9/27/2024 21:53,19.2183,72.9781,41,Male,4,75,Male,Neighbor,No,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,10/12/2024 19:07,26.4499,80.3319,49,Female,0,80,Female,Friend,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Fraud,4/23/2024 21:04,27.1767,78.0081,57,Male,1,67,Female,Colleague,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,10/24/2023 20:05,26.4499,80.3319,23,Male,1,60,Male,Stranger,No,Ongoing
Uttar Pradesh,Kanpur,Kanpur Nagar,Burglary,7/14/2022 4:59,26.4499,80.3319,45,Female,3,22,Male,Neighbor,No,Solved
Tamil Nadu,Coimbatore,Coimbatore,Kidnapping,4/16/2024 3:22,11.0168,76.9558,22,Male,1,28,Female,Friend,No,Unsolved
Uttar Pradesh,Kakori,Lucknow,Murder,4/23/2023 6:27,26.8467,80.9462,29,Female,3,25,Female,Colleague,No,Solved
Maharashtra,Pune,Pune,Fraud,5/21/2021 1:09,18.5204,73.8567,52,Male,3,23,Male,Family,Yes,Solved
Tamil Nadu,Chennai,Chennai,Murder,8/28/2022 11:17,13.0827,80.2707,58,Male,0,45,Male,Stranger,No,Unsolved
Uttar Pradesh,Agra,Agra,Kidnapping,9/7/2020 3:25,27.1767,78.0081,55,Female,5,80,Male,Stranger,No,Ongoing
Maharashtra,Nagpur,Nagpur,Kidnapping,10/24/2020 17:19,21.1458,79.0882,42,Female,1,12,Male,Family,Yes,Solved
Tamil Nadu,Coimbatore,Coimbatore,Assault,3/27/2020 16:42,11.0168,76.9558,45,Female,4,5,Female,Neighbor,No,Unsolved
Maharashtra,Thane,Thane,Fraud,11/22/2023 9:49,19.2183,72.9781,21,Female,4,30,Female,Family,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Fraud,11/27/2022 18:33,25.3176,82.9739,39,Male,5,22,Female,Neighbor,No,Solved
Maharashtra,Thane,Thane,Burglary,5/31/2024 2:31,19.2183,72.9781,44,Female,5,61,Male,Colleague,No,Solved
Maharashtra,Pune,Pune,Assault,8/3/2021 19:16,18.5204,73.8567,18,Female,1,30,Male,Colleague,No,Solved
Maharashtra,Nagpur,Nagpur,Theft,5/25/2022 15:49,21.1458,79.0882,23,Male,0,40,Male,Stranger,No,Solved
Tamil Nadu,Chennai,Chennai,Burglary,7/14/2022 21:23,13.0827,80.2707,24,Male,3,5,Female,Stranger,No,Solved
Maharashtra,Pune,Pune,Kidnapping,5/27/2022 0:48,18.5204,73.8567,47,Male,2,48,Female,Neighbor,No,Ongoing
Maharashtra,Kalyan,Mumbai,Murder,7/23/2022 23:41,19.076,72.8777,36,Male,2,8,Male,Stranger,Yes,Solved
Tamil Nadu,Chennai,Chennai,Burglary,8/28/2024 15:35,13.0827,80.2707,54,Female,0,65,Female,Friend,Yes,Unsolved
Maharashtra,Pune,Pune,Kidnapping,2/23/2021 21:50,18.5204,73.8567,32,Male,5,47,Female,Stranger,Yes,Ongoing
Maharashtra,Pune,Pune,Murder,6/12/2023 1:25,18.5204,73.8567,29,Female,3,72,Male,Neighbor,Yes,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Theft,5/6/2024 0:12,11.0168,76.9558,26,Male,3,80,Male,Family,No,Ongoing
Maharashtra,Nagpur,Nagpur,Burglary,9/4/2024 20:49,21.1458,79.0882,29,Female,3,30,Female,Neighbor,No,Ongoing
Uttar Pradesh,Agra,Agra,Fraud,10/16/2020 0:37,27.1767,78.0081,56,Female,0,32,Male,Neighbor,No,Unsolved
Maharashtra,Pune,Pune,Assault,7/9/2020 6:19,18.5204,73.8567,56,Male,1,44,Male,Stranger,Yes,Ongoing
Uttar Pradesh,Bakshi Ka Talab,Lucknow,Theft,2/17/2021 12:44,26.8467,80.9462,41,Female,2,56,Male,Colleague,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Murder,1/16/2025 15:07,11.0168,76.9558,37,Female,5,42,Female,Neighbor,Yes,Unsolved
Uttar Pradesh,Chinhat,Lucknow,Theft,4/23/2022 5:42,26.8467,80.9462,56,Male,5,62,Male,Friend,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Kidnapping,4/29/2020 4:02,26.4499,80.3319,35,Male,3,28,Male,Stranger,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Assault,3/12/2023 13:06,11.0168,76.9558,34,Female,3,14,Male,Stranger,Yes,Solved
Tamil Nadu,Chennai,Chennai,Assault,7/13/2021 0:36,13.0827,80.2707,21,Female,2,57,Female,Family,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Assault,6/5/2021 3:27,13.0827,80.2707,41,Male,5,21,Female,Neighbor,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Theft,11/3/2022 7:16,27.1767,78.0081,26,Female,0,71,Male,Family,Yes,Solved
Maharashtra,Mira Bhayandar,Mumbai,Assault,9/21/2020 15:37,19.076,72.8777,59,Male,2,42,Male,Colleague,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Fraud,9/23/2022 19:15,26.4499,80.3319,59,Male,1,52,Male,Colleague,No,Solved
Maharashtra,Bhiwandi,Mumbai,Murder,12/4/2021 10:37,19.076,72.8777,25,Male,0,45,Male,Colleague,No,Unsolved
Uttar Pradesh,Agra,Agra,Assault,9/23/2020 15:35,27.1767,78.0081,31,Female,0,77,Female,Friend,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Theft,1/9/2022 12:45,13.0827,80.2707,19,Female,1,70,Female,Neighbor,Yes,Ongoing
Maharashtra,Pune,Pune,Kidnapping,7/23/2020 21:44,18.5204,73.8567,25,Female,1,20,Male,Neighbor,Yes,Unsolved
Maharashtra,Pune,Pune,Burglary,10/1/2023 22:35,18.5204,73.8567,52,Male,4,37,Male,Colleague,No,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Murder,11/2/2024 11:20,26.4499,80.3319,31,Female,0,57,Male,Stranger,Yes,Ongoing
Maharashtra,Nagpur,Nagpur,Fraud,3/15/2024 20:44,21.1458,79.0882,40,Female,2,10,Female,Stranger,Yes,Unsolved
Maharashtra,Pune,Pune,Theft,11/10/2020 2:53,18.5204,73.8567,50,Female,0,62,Female,Stranger,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Theft,8/19/2022 18:03,26.4499,80.3319,20,Male,2,55,Male,Colleague,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Fraud,8/1/2023 0:08,11.0168,76.9558,39,Female,5,71,Male,Family,Yes,Solved
Tamil Nadu,Chennai,Chennai,Burglary,5/4/2023 7:26,13.0827,80.2707,30,Female,4,60,Female,Family,No,Ongoing
Uttar Pradesh,Gosainganj,Lucknow,Assault,7/18/2021 10:08,26.8467,80.9462,26,Female,1,19,Male,Neighbor,Yes,Solved
Tamil Nadu,Coimbatore,Coimbatore,Burglary,10/14/2024 0:28,11.0168,76.9558,39,Male,0,46,Male,Stranger,No,Unsolved
Tamil Nadu,Chennai,Chennai,Kidnapping,3/6/2021 7:44,13.0827,80.2707,25,Male,5,62,Female,Neighbor,No,Unsolved
Maharashtra,Thane,Mumbai,Theft,4/29/2020 23:08,19.076,72.8777,38,Male,3,80,Male,Colleague,Yes,Solved
Maharashtra,Navi Mumbai,Mumbai,Fraud,8/22/2022 9:16,19.076,72.8777,40,Female,3,17,Male,Colleague,No,Unsolved
Maharashtra,Pune,Pune,Fraud,9/18/2022 17:49,18.5204,73.8567,60,Male,5,5,Male,Family,No,Ongoing
Uttar Pradesh,Barabanki,Lucknow,Assault,5/10/2020 15:03,26.8467,80.9462,48,Male,3,47,Male,Colleague,Yes,Ongoing
Uttar Pradesh,Malihabad,Lucknow,Theft,12/7/2024 9:33,26.8467,80.9462,27,Male,5,33,Male,Family,No,Unsolved
Maharashtra,Pune,Pune,Burglary,12/8/2022 11:34,18.5204,73.8567,56,Female,1,60,Male,Stranger,No,Solved
Maharashtra,Dombivli,Mumbai,Fraud,8/2/2022 0:48,19.076,72.8777,27,Male,1,13,Female,Friend,No,Solved
Uttar Pradesh,Varanasi,Varanasi,Kidnapping,12/6/2022 19:17,25.3176,82.9739,54,Male,1,62,Male,Family,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Theft,8/11/2023 10:14,11.0168,76.9558,58,Male,4,59,Male,Friend,No,Solved
Uttar Pradesh,Agra,Agra,Burglary,8/1/2023 3:44,27.1767,78.0081,41,Male,1,54,Male,Colleague,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Murder,6/23/2020 8:30,27.1767,78.0081,21,Male,2,42,Male,Friend,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Assault,11/19/2021 1:50,27.1767,78.0081,22,Male,1,12,Female,Colleague,No,Ongoing
Maharashtra,Vasai,Mumbai,Burglary,9/14/2024 18:58,19.076,72.8777,35,Male,1,79,Male,Colleague,No,Unsolved
Maharashtra,Kalyan,Mumbai,Assault,12/29/2021 8:18,19.076,72.8777,31,Female,0,7,Male,Friend,No,Unsolved
Uttar Pradesh,Mohanlalganj,Lucknow,Burglary,1/30/2025 15:35,26.8467,80.9462,48,Male,2,42,Female,Colleague,Yes,Solved
Uttar Pradesh,Agra,Agra,Kidnapping,1/31/2021 18:16,27.1767,78.0081,49,Male,4,55,Female,Family,No,Unsolved
Maharashtra,Pune,Pune,Theft,4/16/2021 19:06,18.5204,73.8567,42,Female,1,11,Male,Neighbor,No,Ongoing
Uttar Pradesh,Kakori,Lucknow,Burglary,6/12/2020 2:20,26.8467,80.9462,19,Female,3,28,Male,Stranger,Yes,Solved
Tamil Nadu,Chennai,Chennai,Theft,1/1/2025 6:28,13.0827,80.2707,55,Male,4,10,Male,Family,Yes,Unsolved
Maharashtra,Thane,Thane,Fraud,5/4/2022 0:14,19.2183,72.9781,56,Female,1,45,Male,Friend,Yes,Ongoing
Maharashtra,Pune,Pune,Burglary,2/19/2024 10:12,18.5204,73.8567,20,Female,5,8,Female,Colleague,No,Ongoing
Maharashtra,Mira Bhayandar,Mumbai,Burglary,6/19/2024 19:04,19.076,72.8777,54,Male,2,14,Male,Friend,Yes,Solved
Uttar Pradesh,Agra,Agra,Murder,5/12/2021 0:15,27.1767,78.0081,37,Male,2,31,Female,Stranger,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Kidnapping,9/25/2023 2:39,13.0827,80.2707,53,Female,1,12,Male,Family,No,Solved
