ward,crime_type,month,crime_count
Charai,Domestic Violence,2019-09,1
Charai,Domestic Violence,2020-03,1
Charai,Domestic Violence,2020-06,2
Charai,Domestic Violence,2021-03,1
Charai,Domestic Violence,2022-02,1
Charai,Domestic Violence,2022-07,1
Charai,Domestic Violence,2022-09,1
Charai,Domestic Violence,2022-11,1
Charai,Domestic Violence,2022-12,1
Charai,Domestic Violence,2024-04,1
Charai,Domestic Violence,2024-07,1
Charai,Domestic Violence,2024-09,1
Charai,Domestic Violence,2024-10,1
Charai,Domestic Violence,2025-03,1
Charai,Drug Offense,2018-01,1
Charai,Drug Offense,2018-03,1
Charai,Drug Offense,2018-06,1
Charai,Drug Offense,2018-10,1
Charai,Drug Offense,2019-04,1
Charai,Drug Offense,2019-05,1
Charai,Drug Offense,2020-07,1
Charai,Drug Offense,2020-08,1
Charai,Drug Offense,2021-06,1
Charai,Drug Offense,2021-07,2
Charai,Drug Offense,2021-09,2
Charai,Drug Offense,2021-10,2
Charai,Drug Offense,2022-08,1
Charai,Drug Offense,2022-12,1
Charai,Drug Offense,2023-02,1
Charai,Drug Offense,2025-04,2
Charai,Drug Offense,2025-06,1
Charai,Drug Offense,2025-07,1
Charai,Drug Offense,2025-09,1
Charai,Drug Offense,2025-11,1
Charai,Drug Offense,2025-12,1
Charai,Fraud,2018-03,1
Charai,Fraud,2018-06,1
Charai,Fraud,2018-08,1
Charai,Fraud,2019-04,1
Charai,Fraud,2019-05,2
Charai,Fraud,2019-07,1
Charai,Fraud,2019-10,1
Charai,Fraud,2020-08,1
Charai,Fraud,2020-12,1
Charai,Fraud,2021-05,1
Charai,Fraud,2022-04,1
Charai,Fraud,2022-07,1
Charai,Fraud,2023-02,1
Charai,Fraud,2024-06,1
Charai,Fraud,2024-10,1
Charai,Fraud,2025-01,1
Charai,Fraud,2025-03,1
Charai,Fraud,2025-04,1
Charai,Kidnapping,2018-01,3
Charai,Kidnapping,2018-05,1
Charai,Kidnapping,2018-11,1
Charai,Kidnapping,2018-12,1
Charai,Kidnapping,2019-01,1
Charai,Kidnapping,2019-02,1
Charai,Kidnapping,2021-01,1
Charai,Kidnapping,2021-09,1
Charai,Kidnapping,2022-05,1
Charai,Kidnapping,2023-07,1
Charai,Kidnapping,2024-02,1
Charai,Kidnapping,2024-08,1
Charai,Kidnapping,2024-11,1
Charai,Kidnapping,2024-12,1
Charai,Kidnapping,2025-01,1
Charai,Kidnapping,2025-08,1
Charai,Kidnapping,2025-10,1
Charai,Murder,2018-01,1
Charai,Murder,2018-03,2
Charai,Murder,2018-04,1
Charai,Murder,2018-05,1
Charai,Murder,2018-06,1
Charai,Murder,2018-11,2
Charai,Murder,2019-04,1
Charai,Murder,2019-05,1
Charai,Murder,2019-09,1
Charai,Murder,2019-12,1
Charai,Murder,2020-01,1
Charai,Murder,2020-02,1
Charai,Murder,2020-06,1
Charai,Murder,2021-02,2
Charai,Murder,2021-06,1
Charai,Murder,2021-08,1
Charai,Murder,2021-10,2
Charai,Murder,2023-04,1
Charai,Murder,2024-10,1
Charai,Murder,2025-05,1
Charai,Murder,2025-09,1
Charai,Murder,2025-12,1
Charai,Robbery,2018-11,1
Charai,Robbery,2018-12,1
Charai,Robbery,2019-05,1
Charai,Robbery,2019-11,1
Charai,Robbery,2020-01,1
Charai,Robbery,2020-04,1
Charai,Robbery,2020-10,1
Charai,Robbery,2021-01,1
Charai,Robbery,2021-03,1
Charai,Robbery,2021-07,1
Charai,Robbery,2022-07,1
Charai,Robbery,2022-12,1
Charai,Robbery,2023-05,1
Charai,Robbery,2023-07,1
Charai,Robbery,2024-08,1
Charai,Robbery,2025-02,1
Charai,Robbery,2025-05,1
Charai,Robbery,2025-08,1
Charai,Theft,2018-03,1
Charai,Theft,2018-09,1
Charai,Theft,2019-02,1
Charai,Theft,2019-11,2
Charai,Theft,2020-06,1
Charai,Theft,2021-05,1
Charai,Theft,2021-11,1
Charai,Theft,2022-06,1
Charai,Theft,2023-02,1
Charai,Theft,2023-04,1
Charai,Theft,2024-01,1
Charai,Theft,2024-06,1
Charai,Theft,2024-08,1
Charai,Theft,2025-04,1
Charai,Theft,2025-07,1
Dhokali,Assault,2018-05,1
Dhokali,Assault,2018-09,1
Dhokali,Assault,2019-06,1
Dhokali,Assault,2019-11,1
Dhokali,Assault,2020-01,1
Dhokali,Assault,2020-04,1
Dhokali,Assault,2021-03,1
Dhokali,Assault,2022-01,1
Dhokali,Assault,2022-09,1
Dhokali,Assault,2022-11,1
Dhokali,Assault,2023-05,1
Dhokali,Assault,2024-02,1
Dhokali,Assault,2024-11,1
Dhokali,Cheating,2018-04,1
Dhokali,Cheating,2018-06,2
Dhokali,Cheating,2019-03,1
Dhokali,Cheating,2019-04,2
Dhokali,Cheating,2019-06,1
Dhokali,Cheating,2019-07,1
Dhokali,Cheating,2020-01,1
Dhokali,Cheating,2020-09,2
Dhokali,Cheating,2020-12,1
Dhokali,Cheating,2021-02,1
Dhokali,Cheating,2021-08,1
Dhokali,Cheating,2021-09,1
Dhokali,Cheating,2022-08,1
Dhokali,Cheating,2023-06,1
Dhokali,Cheating,2023-09,1
Dhokali,Cheating,2023-10,1
Dhokali,Cheating,2024-04,1
Dhokali,Cheating,2024-06,1
Dhokali,Cheating,2025-04,2
Dhokali,Cheating,2025-08,1
Dhokali,Cybercrime,2018-01,1
Dhokali,Cybercrime,2018-10,1
Dhokali,Cybercrime,2018-11,1
Dhokali,Cybercrime,2018-12,1
Dhokali,Cybercrime,2019-06,1
Dhokali,Cybercrime,2019-07,1
Dhokali,Cybercrime,2021-02,1
Dhokali,Cybercrime,2021-05,1
Dhokali,Cybercrime,2021-09,1
Dhokali,Cybercrime,2021-11,1
Dhokali,Cybercrime,2022-01,1
Dhokali,Cybercrime,2022-02,1
Dhokali,Cybercrime,2023-04,2
Dhokali,Cybercrime,2024-03,1
Dhokali,Cybercrime,2024-05,1
Dhokali,Cybercrime,2025-04,1
Dhokali,Cybercrime,2025-12,1
Dhokali,Domestic Violence,2018-02,1
Dhokali,Domestic Violence,2018-04,1
Dhokali,Domestic Violence,2018-10,1
Dhokali,Domestic Violence,2019-11,1
Dhokali,Domestic Violence,2019-12,1
Dhokali,Domestic Violence,2020-01,1
Dhokali,Domestic Violence,2020-05,2
Dhokali,Domestic Violence,2020-09,1
Dhokali,Domestic Violence,2020-12,1
Dhokali,Domestic Violence,2021-05,1
Dhokali,Domestic Violence,2022-04,1
Dhokali,Domestic Violence,2022-11,1
Dhokali,Domestic Violence,2023-01,1
Dhokali,Domestic Violence,2023-05,1
Dhokali,Domestic Violence,2023-06,1
Dhokali,Domestic Violence,2023-12,1
Dhokali,Domestic Violence,2024-04,1
Dhokali,Domestic Violence,2024-09,1
Dhokali,Domestic Violence,2025-04,1
Dhokali,Domestic Violence,2025-05,2
Dhokali,Domestic Violence,2025-09,1
Dhokali,Drug Offense,2018-03,1
Dhokali,Drug Offense,2018-10,1
Dhokali,Drug Offense,2019-12,2
Dhokali,Drug Offense,2020-07,1
Dhokali,Drug Offense,2020-10,2
Dhokali,Drug Offense,2022-03,1
Dhokali,Drug Offense,2022-08,1
Dhokali,Drug Offense,2022-11,1
Dhokali,Drug Offense,2022-12,1
Dhokali,Drug Offense,2023-08,2
Dhokali,Drug Offense,2023-11,1
Dhokali,Drug Offense,2024-06,1
Dhokali,Drug Offense,2025-01,1
Dhokali,Drug Offense,2025-05,1
Dhokali,Fraud,2018-01,1
Dhokali,Fraud,2018-02,2
Dhokali,Fraud,2018-09,1
Dhokali,Fraud,2018-10,1
Dhokali,Fraud,2018-11,1
Dhokali,Fraud,2019-03,1
Dhokali,Fraud,2020-02,1
Dhokali,Fraud,2020-11,1
Dhokali,Fraud,2021-06,1
Dhokali,Fraud,2022-05,1
Dhokali,Fraud,2022-09,1
Dhokali,Fraud,2022-12,1
Dhokali,Fraud,2023-01,1
Dhokali,Fraud,2023-05,1
Dhokali,Fraud,2023-08,1
Dhokali,Fraud,2023-11,1
Dhokali,Fraud,2024-09,1
Dhokali,Fraud,2025-02,1
Dhokali,Kidnapping,2018-01,1
Dhokali,Kidnapping,2018-08,1
Dhokali,Kidnapping,2018-09,1
Dhokali,Kidnapping,2018-10,1
Dhokali,Kidnapping,2019-02,1
Dhokali,Kidnapping,2020-01,1
Dhokali,Kidnapping,2020-03,1
Dhokali,Kidnapping,2020-09,1
Dhokali,Kidnapping,2021-03,2
Dhokali,Kidnapping,2021-07,1
Dhokali,Kidnapping,2022-01,1
Dhokali,Kidnapping,2022-03,1
Dhokali,Kidnapping,2022-05,1
Dhokali,Kidnapping,2022-12,1
Dhokali,Kidnapping,2023-03,1
Dhokali,Kidnapping,2023-06,2
Dhokali,Kidnapping,2023-07,1
Dhokali,Kidnapping,2023-08,1
Dhokali,Kidnapping,2023-11,1
Dhokali,Kidnapping,2024-03,1
Dhokali,Kidnapping,2024-10,1
Dhokali,Kidnapping,2025-03,1
Dhokali,Kidnapping,2025-07,1
Dhokali,Murder,2018-01,1
Dhokali,Murder,2018-03,1
Dhokali,Murder,2018-10,2
Dhokali,Murder,2018-11,1
Dhokali,Murder,2018-12,1
Dhokali,Murder,2019-01,1
Dhokali,Murder,2019-04,1
Dhokali,Murder,2019-05,1
Dhokali,Murder,2019-06,1
Dhokali,Murder,2019-11,2
Dhokali,Murder,2020-02,1
Dhokali,Murder,2020-04,1
Dhokali,Murder,2020-05,1
Dhokali,Murder,2020-07,1
Dhokali,Murder,2020-12,1
Dhokali,Murder,2021-01,1
Dhokali,Murder,2021-02,1
Dhokali,Murder,2021-05,2
Dhokali,Murder,2022-05,2
Dhokali,Murder,2023-08,1
Dhokali,Murder,2023-11,1
Dhokali,Murder,2024-07,1
Dhokali,Murder,2024-11,1
Dhokali,Murder,2025-02,1
Dhokali,Murder,2025-03,1
Dhokali,Murder,2025-04,1
Dhokali,Murder,2025-10,1
Dhokali,Murder,2025-12,1
Dhokali,Robbery,2018-03,1
Dhokali,Robbery,2018-05,1
Dhokali,Robbery,2018-08,1
Dhokali,Robbery,2019-10,1
Dhokali,Robbery,2020-02,1
Dhokali,Robbery,2020-05,1
Dhokali,Robbery,2020-09,1
Dhokali,Robbery,2020-11,1
Dhokali,Robbery,2021-07,1
Dhokali,Robbery,2022-11,1
Dhokali,Robbery,2023-01,2
Dhokali,Robbery,2023-10,1
Dhokali,Robbery,2024-03,1
Dhokali,Robbery,2024-04,1
Dhokali,Robbery,2024-05,1
Dhokali,Robbery,2024-06,1
Dhokali,Theft,2018-01,1
Dhokali,Theft,2018-02,1
Dhokali,Theft,2019-01,1
Dhokali,Theft,2019-03,1
Dhokali,Theft,2019-04,1
Dhokali,Theft,2019-05,1
Dhokali,Theft,2019-12,1
Dhokali,Theft,2020-03,1
Dhokali,Theft,2021-03,1
Dhokali,Theft,2021-06,2
Dhokali,Theft,2021-11,1
Dhokali,Theft,2022-01,1
Dhokali,Theft,2022-06,1
Dhokali,Theft,2022-08,1
Dhokali,Theft,2022-09,1
Dhokali,Theft,2023-01,2
Dhokali,Theft,2023-03,1
Dhokali,Theft,2023-05,1
Dhokali,Theft,2023-06,2
Dhokali,Theft,2024-03,1
Dhokali,Theft,2025-08,1
Dhokali,Theft,2025-11,1
Ghodbunder Road,Assault,2018-04,1
Ghodbunder Road,Assault,2020-06,1
Ghodbunder Road,Assault,2020-07,2
Ghodbunder Road,Assault,2020-11,3
Ghodbunder Road,Assault,2021-02,1
Ghodbunder Road,Assault,2021-06,1
Ghodbunder Road,Assault,2022-05,1
Ghodbunder Road,Assault,2022-08,1
Ghodbunder Road,Assault,2023-01,2
Ghodbunder Road,Assault,2023-03,1
Ghodbunder Road,Assault,2023-04,1
Ghodbunder Road,Assault,2024-09,1
Ghodbunder Road,Assault,2024-11,2
Ghodbunder Road,Assault,2024-12,2
Ghodbunder Road,Assault,2025-01,1
Ghodbunder Road,Assault,2025-02,2
Ghodbunder Road,Assault,2025-03,1
Ghodbunder Road,Assault,2025-06,1
Ghodbunder Road,Burglary,2023-02,4
Ghodbunder Road,Burglary,2024-05,1
Ghodbunder Road,Burglary,2024-07,2
Ghodbunder Road,Cheating,2018-02,1
Ghodbunder Road,Cheating,2018-03,1
Ghodbunder Road,Cheating,2018-05,1
Ghodbunder Road,Cheating,2018-07,1
Ghodbunder Road,Cheating,2018-10,1
Ghodbunder Road,Cheating,2019-03,1
Ghodbunder Road,Cheating,2019-04,1
Ghodbunder Road,Cheating,2019-09,1
Ghodbunder Road,Cheating,2019-10,1
Ghodbunder Road,Cheating,2020-02,1
Ghodbunder Road,Cheating,2020-05,1
Ghodbunder Road,Cheating,2021-01,1
Ghodbunder Road,Cheating,2021-05,2
Ghodbunder Road,Cheating,2021-11,1
Ghodbunder Road,Cheating,2022-07,1
Ghodbunder Road,Cheating,2022-11,1
Ghodbunder Road,Cheating,2023-03,1
Ghodbunder Road,Cheating,2024-03,1
Ghodbunder Road,Cheating,2024-11,1
Ghodbunder Road,Cheating,2025-02,1
Ghodbunder Road,Cheating,2025-09,1
Ghodbunder Road,Cheating,2025-10,1
Ghodbunder Road,Cheating,2025-11,2
Ghodbunder Road,Cybercrime,2018-01,1
Ghodbunder Road,Cybercrime,2018-04,2
Ghodbunder Road,Cybercrime,2018-05,1
Ghodbunder Road,Cybercrime,2018-07,1
Ghodbunder Road,Cybercrime,2018-09,1
Ghodbunder Road,Cybercrime,2019-02,1
Ghodbunder Road,Cybercrime,2020-02,1
Ghodbunder Road,Cybercrime,2020-07,1
Ghodbunder Road,Cybercrime,2021-01,1
Ghodbunder Road,Cybercrime,2021-02,1
Ghodbunder Road,Cybercrime,2021-07,1
Ghodbunder Road,Cybercrime,2022-01,1
Ghodbunder Road,Cybercrime,2022-08,2
Ghodbunder Road,Cybercrime,2023-05,1
Ghodbunder Road,Cybercrime,2023-07,1
Ghodbunder Road,Cybercrime,2023-12,2
Ghodbunder Road,Cybercrime,2024-03,1
Ghodbunder Road,Cybercrime,2024-12,1
Ghodbunder Road,Cybercrime,2025-03,1
Ghodbunder Road,Domestic Violence,2018-03,1
Ghodbunder Road,Domestic Violence,2018-12,2
Ghodbunder Road,Domestic Violence,2019-01,1
Ghodbunder Road,Domestic Violence,2019-02,2
Ghodbunder Road,Domestic Violence,2020-02,1
Ghodbunder Road,Domestic Violence,2020-04,2
Ghodbunder Road,Domestic Violence,2020-06,1
Ghodbunder Road,Domestic Violence,2020-07,2
Ghodbunder Road,Domestic Violence,2020-08,1
Ghodbunder Road,Domestic Violence,2020-09,2
Ghodbunder Road,Domestic Violence,2020-10,1
Ghodbunder Road,Domestic Violence,2021-03,2
Ghodbunder Road,Domestic Violence,2021-08,1
Ghodbunder Road,Domestic Violence,2021-11,1
Ghodbunder Road,Domestic Violence,2021-12,1
Ghodbunder Road,Domestic Violence,2022-06,2
Ghodbunder Road,Domestic Violence,2022-11,1
Ghodbunder Road,Domestic Violence,2023-04,1
Ghodbunder Road,Domestic Violence,2023-05,1
Ghodbunder Road,Domestic Violence,2024-07,1
Ghodbunder Road,Domestic Violence,2024-09,2
Ghodbunder Road,Domestic Violence,2024-11,2
Ghodbunder Road,Domestic Violence,2025-03,1
Ghodbunder Road,Domestic Violence,2025-09,1
Ghodbunder Road,Domestic Violence,2025-10,1
Ghodbunder Road,Drug Offense,2019-02,1
Ghodbunder Road,Drug Offense,2019-04,1
Ghodbunder Road,Drug Offense,2019-05,1
Ghodbunder Road,Drug Offense,2019-07,1
Ghodbunder Road,Drug Offense,2019-08,1
Ghodbunder Road,Drug Offense,2019-09,1
Ghodbunder Road,Drug Offense,2022-11,1
Ghodbunder Road,Drug Offense,2022-12,1
Ghodbunder Road,Drug Offense,2023-07,1
Ghodbunder Road,Drug Offense,2023-10,1
Ghodbunder Road,Drug Offense,2024-05,1
Ghodbunder Road,Drug Offense,2025-11,1
Ghodbunder Road,Fraud,2018-08,1
Ghodbunder Road,Fraud,2019-05,1
Ghodbunder Road,Fraud,2019-07,1
Ghodbunder Road,Fraud,2019-09,1
Ghodbunder Road,Fraud,2019-12,2
Ghodbunder Road,Fraud,2020-02,1
Ghodbunder Road,Fraud,2022-05,1
Ghodbunder Road,Fraud,2022-07,1
Ghodbunder Road,Fraud,2022-08,1
Ghodbunder Road,Fraud,2022-09,2
Ghodbunder Road,Fraud,2023-02,1
Ghodbunder Road,Fraud,2023-03,3
Ghodbunder Road,Fraud,2023-07,1
Ghodbunder Road,Fraud,2023-08,2
Ghodbunder Road,Fraud,2023-11,2
Ghodbunder Road,Fraud,2024-01,2
Ghodbunder Road,Fraud,2024-06,1
Ghodbunder Road,Fraud,2024-07,1
Ghodbunder Road,Fraud,2024-10,1
Ghodbunder Road,Fraud,2025-02,1
Ghodbunder Road,Fraud,2025-07,1
Ghodbunder Road,Fraud,2025-12,1
Ghodbunder Road,Kidnapping,2018-03,1
Ghodbunder Road,Kidnapping,2018-04,1
Ghodbunder Road,Kidnapping,2018-05,1
Ghodbunder Road,Kidnapping,2018-06,1
Ghodbunder Road,Kidnapping,2018-07,1
Ghodbunder Road,Kidnapping,2019-01,1
Ghodbunder Road,Kidnapping,2019-06,1
Ghodbunder Road,Kidnapping,2020-03,3
Ghodbunder Road,Kidnapping,2020-07,1
Ghodbunder Road,Kidnapping,2021-01,1
Ghodbunder Road,Kidnapping,2021-04,1
Ghodbunder Road,Kidnapping,2021-08,1
Ghodbunder Road,Kidnapping,2023-04,1
Ghodbunder Road,Kidnapping,2023-07,2
Ghodbunder Road,Kidnapping,2023-08,1
Ghodbunder Road,Kidnapping,2023-10,1
Ghodbunder Road,Kidnapping,2023-11,1
Ghodbunder Road,Kidnapping,2024-09,1
Ghodbunder Road,Kidnapping,2025-03,2
Ghodbunder Road,Kidnapping,2025-10,1
Ghodbunder Road,Murder,2018-10,1
Ghodbunder Road,Murder,2018-12,1
Ghodbunder Road,Murder,2020-01,1
Ghodbunder Road,Murder,2020-11,1
Ghodbunder Road,Murder,2021-07,1
Ghodbunder Road,Murder,2021-09,1
Ghodbunder Road,Murder,2022-03,1
Ghodbunder Road,Murder,2022-04,1
Ghodbunder Road,Murder,2023-09,1
Ghodbunder Road,Murder,2023-11,2
Ghodbunder Road,Murder,2024-03,1
Ghodbunder Road,Murder,2024-04,1
Ghodbunder Road,Murder,2024-09,1
Ghodbunder Road,Murder,2024-11,1
Ghodbunder Road,Murder,2025-12,1
Ghodbunder Road,Robbery,2018-04,1
Ghodbunder Road,Robbery,2019-04,1
Ghodbunder Road,Robbery,2019-06,1
Ghodbunder Road,Robbery,2019-07,1
Ghodbunder Road,Robbery,2019-10,1
Ghodbunder Road,Robbery,2020-09,1
Ghodbunder Road,Robbery,2020-10,1
Ghodbunder Road,Robbery,2021-04,1
Ghodbunder Road,Robbery,2022-05,2
Ghodbunder Road,Robbery,2023-04,1
Ghodbunder Road,Robbery,2023-05,1
Ghodbunder Road,Robbery,2023-06,1
Ghodbunder Road,Robbery,2024-08,1
Ghodbunder Road,Robbery,2024-09,1
Ghodbunder Road,Robbery,2025-01,1
Ghodbunder Road,Robbery,2025-11,1
Ghodbunder Road,Theft,2018-09,2
Ghodbunder Road,Theft,2018-10,1
