id,crime_type,address,description,reported_at,latitude,longitude
24,Assault,"Gandhi Nagar, Jammu",Reported assault incident.,2025-03-31T07:31:33.800186Z,32.7186,74.8581
25,Assault,"Sector 17, Chandigarh",Reported assault incident.,2025-03-09T07:31:33.800191Z,30.7353,76.7789
26,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-29T07:31:33.800197Z,26.9124,75.7873
27,Drug Possession,"Salt Lake, Kolkata, West Bengal",Reported drug possession incident.,2025-03-11T07:31:33.800203Z,22.5832,88.4088
28,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-10T07:31:33.800208Z,26.9124,75.7873
29,Burglary,"MG Road, Bengaluru, Karnataka",Reported burglary incident.,2025-03-30T07:31:33.800214Z,12.9716,77.5946
30,Assault,"Charminar, Hyderabad, Telangana",Reported assault incident.,2025-03-02T07:31:33.800220Z,17.3616,78.4747
31,Burglary,"Gandhi Nagar, Jammu",Reported burglary incident.,2025-03-16T07:31:33.800226Z,32.7186,74.8581
33,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-25T07:31:33.800232Z,30.7353,76.7789
34,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-20T07:31:33.800238Z,17.3616,78.4747
35,Drug Possession,"Marine Drive, Mumbai, Maharashtra",Reported drug possession incident.,2025-03-03T07:31:33.800243Z,18.9436,72.8235
36,Drug Possession,"MI Road, Jaipur, Rajasthan",Reported drug possession incident.,2025-03-14T07:31:33.800249Z,26.9124,75.7873
37,Murder,"Salt Lake, Kolkata, West Bengal",Reported murder incident.,2025-03-07T07:31:33.800254Z,22.5832,88.4088
38,Vandalism,"Connaught Place, New Delhi",Reported vandalism incident.,2025-03-16T07:31:33.800260Z,28.6328,77.2197
39,Murder,"MI Road, Jaipur, Rajasthan",Reported murder incident.,2025-03-10T07:31:33.800266Z,26.9124,75.7873
40,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-28T07:31:33.800271Z,12.9716,77.5946
41,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-01T07:31:33.800277Z,18.9436,72.8235
42,Drug Possession,"Anna Salai, Chennai, Tamil Nadu",Reported drug possession incident.,2025-03-30T07:31:33.800285Z,13.063,80.2606
43,Vandalism,"Anna Salai, Chennai, Tamil Nadu",Reported vandalism incident.,2025-03-26T07:31:33.800296Z,13.063,80.2606
44,Theft,"MG Road, Bengaluru, Karnataka",Reported theft incident.,2025-03-04T07:31:33.800308Z,12.9716,77.5946
45,Murder,"Marine Drive, Mumbai, Maharashtra",Reported murder incident.,2025-03-22T07:31:33.800319Z,18.9436,72.8235
46,Burglary,"Anna Salai, Chennai, Tamil Nadu",Reported burglary incident.,2025-03-16T07:31:33.800329Z,13.063,80.2606
47,Drug Possession,"Anna Salai, Chennai, Tamil Nadu",Reported drug possession incident.,2025-03-17T07:31:33.800340Z,13.063,80.2606
48,Theft,"Connaught Place, New Delhi",Reported theft incident.,2025-03-24T07:31:33.800352Z,28.6328,77.2197
49,Theft,"Salt Lake, Kolkata, West Bengal",Reported theft incident.,2025-03-04T07:31:33.800366Z,22.5832,88.4088
50,Assault,"Sector 17, Chandigarh",Reported assault incident.,2025-03-06T04:36:21.163743Z,30.7353,76.7789
51,Murder,"Anna Salai, Chennai, Tamil Nadu",Reported murder incident.,2025-03-06T18:26:19.163777Z,13.063,80.2606
52,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-08T11:44:37.163789Z,30.7353,76.7789
53,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-22T21:01:29.163798Z,32.7186,74.8581
54,Murder,"Charminar, Hyderabad, Telangana",Reported murder incident.,2025-03-11T05:07:22.163807Z,17.3616,78.4747
55,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-24T21:21:04.163817Z,17.3616,78.4747
56,Assault,"Charminar, Hyderabad, Telangana",Reported assault incident.,2025-03-17T00:12:02.163829Z,17.3616,78.4747
57,Murder,"MI Road, Jaipur, Rajasthan",Reported murder incident.,2025-03-18T10:10:58.163873Z,26.9124,75.7873
58,Theft,"Anna Salai, Chennai, Tamil Nadu",Reported theft incident.,2025-03-15T13:14:13.163896Z,13.063,80.2606
59,Burglary,"MI Road, Jaipur, Rajasthan",Reported burglary incident.,2025-03-13T10:05:37.163913Z,26.9124,75.7873
60,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-15T02:06:32.163930Z,12.9716,77.5946
61,Burglary,"Sector 17, Chandigarh",Reported burglary incident.,2025-03-18T02:09:50.163947Z,30.7353,76.7789
62,Assault,"Gandhi Nagar, Jammu",Reported assault incident.,2025-03-25T06:36:28.163963Z,32.7186,74.8581
63,Murder,"Marine Drive, Mumbai, Maharashtra",Reported murder incident.,2025-03-03T08:33:46.163978Z,18.9436,72.8235
64,Theft,"Charminar, Hyderabad, Telangana",Reported theft incident.,2025-03-07T12:24:06.163994Z,17.3616,78.4747
65,Theft,"Anna Salai, Chennai, Tamil Nadu",Reported theft incident.,2025-03-20T05:25:11.164010Z,13.063,80.2606
66,Murder,"Gandhi Nagar, Jammu",Reported murder incident.,2025-03-28T18:54:44.164027Z,32.7186,74.8581
67,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-04T19:07:45.164045Z,30.7353,76.7789
68,Fraud,"MG Road, Bengaluru, Karnataka",Reported fraud incident.,2025-03-25T18:41:09.164062Z,12.9716,77.5946
69,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-03-20T12:40:27.164079Z,22.5832,88.4088
70,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-14T09:52:16.164095Z,12.9716,77.5946
71,Theft,"Anna Salai, Chennai, Tamil Nadu",Reported theft incident.,2025-03-02T16:48:04.164111Z,13.063,80.2606
72,Murder,"Gandhi Nagar, Jammu",Reported murder incident.,2025-03-07T08:46:54.164128Z,32.7186,74.8581
73,Fraud,"Gandhi Nagar, Jammu",Reported fraud incident.,2025-03-19T20:57:54.164145Z,32.7186,74.8581
74,Fraud,"Hazratganj, Lucknow, Uttar Pradesh",Reported fraud incident.,2025-03-02T01:25:03.164162Z,26.8561,80.9346
75,Drug Possession,"MI Road, Jaipur, Rajasthan",Reported drug possession incident.,2025-03-10T03:19:24.164181Z,26.9124,75.7873
76,Vandalism,"Marine Drive, Mumbai, Maharashtra",Reported vandalism incident.,2025-03-17T03:22:48.164197Z,18.9436,72.8235
77,Kidnapping,"MG Road, Bengaluru, Karnataka",Reported kidnapping incident.,2025-03-06T00:04:25.164213Z,12.9716,77.5946
78,Assault,"Anna Salai, Chennai, Tamil Nadu",Reported assault incident.,2025-03-07T15:19:55.164228Z,13.063,80.2606
79,Fraud,"Hazratganj, Lucknow, Uttar Pradesh",Reported fraud incident.,2025-03-14T07:46:59.164243Z,26.8561,80.9346
80,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-13T17:33:11.164258Z,12.9716,77.5946
81,Burglary,"Anna Salai, Chennai, Tamil Nadu",Reported burglary incident.,2025-03-01T04:27:43.164272Z,13.063,80.2606
82,Kidnapping,"Marine Drive, Mumbai, Maharashtra",Reported kidnapping incident.,2025-03-03T18:53:58.164289Z,18.9436,72.8235
83,Theft,"Marine Drive, Mumbai, Maharashtra",Reported theft incident.,2025-03-31T02:41:17.164320Z,18.9436,72.8235
84,Kidnapping,"Marine Drive, Mumbai, Maharashtra",Reported kidnapping incident.,2025-03-20T09:50:23.164339Z,18.9436,72.8235
85,Kidnapping,"Gandhi Nagar, Jammu",Reported kidnapping incident.,2025-03-21T11:52:37.164356Z,32.7186,74.8581
86,Vandalism,"Sector 17, Chandigarh",Reported vandalism incident.,2025-03-26T22:52:31.164372Z,30.7353,76.7789
87,Kidnapping,"Connaught Place, New Delhi",Reported kidnapping incident.,2025-03-12T09:37:53.164389Z,28.6328,77.2197
88,Theft,"Connaught Place, New Delhi",Reported theft incident.,2025-03-19T02:26:22.164405Z,28.6328,77.2197
89,Fraud,"Salt Lake, Kolkata, West Bengal",Reported fraud incident.,2025-03-24T19:46:31.164422Z,22.5832,88.4088
90,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-03-19T09:47:49.164440Z,22.5832,88.4088
91,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-03-10T23:55:56.164457Z,22.5832,88.4088
92,Drug Possession,"Sector 17, Chandigarh",Reported drug possession incident.,2025-03-26T10:18:43.164474Z,30.7353,76.7789
93,Theft,"Marine Drive, Mumbai, Maharashtra",Reported theft incident.,2025-03-27T12:40:28.164491Z,18.9436,72.8235
94,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-16T16:55:57.164507Z,32.7186,74.8581
95,Assault,"MI Road, Jaipur, Rajasthan",Reported assault incident.,2025-03-23T08:13:52.164524Z,26.9124,75.7873
96,Burglary,"Sector 17, Chandigarh",Reported burglary incident.,2025-03-17T23:30:03.164540Z,30.7353,76.7789
97,Kidnapping,"MI Road, Jaipur, Rajasthan",Reported kidnapping incident.,2025-03-03T17:38:35.164557Z,26.9124,75.7873
98,Vandalism,"MG Road, Bengaluru, Karnataka",Reported vandalism incident.,2025-03-02T05:08:17.164575Z,12.9716,77.5946
99,Burglary,"MI Road, Jaipur, Rajasthan",Reported burglary incident.,2025-03-05T06:01:30.164592Z,26.9124,75.7873
100,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-01T04:11:23.164608Z,18.9436,72.8235
101,Kidnapping,"MG Road, Bengaluru, Karnataka",Reported kidnapping incident.,2025-03-03T16:53:35.164624Z,12.9716,77.5946
102,Burglary,"Hazratganj, Lucknow, Uttar Pradesh",Reported burglary incident.,2025-03-10T07:59:20.164640Z,26.8561,80.9346
103,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-03-27T03:15:52.164657Z,22.5832,88.4088
104,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-25T10:48:40.164673Z,18.9436,72.8235
105,Kidnapping,"Anna Salai, Chennai, Tamil Nadu",Reported kidnapping incident.,2025-03-19T11:49:21.164690Z,13.063,80.2606
106,Fraud,"Connaught Place, New Delhi",Reported fraud incident.,2025-03-01T02:54:51.164706Z,28.6328,77.2197
107,Vandalism,"MI Road, Jaipur, Rajasthan",Reported vandalism incident.,2025-03-17T21:13:45.164722Z,26.9124,75.7873
108,Fraud,"Hazratganj, Lucknow, Uttar Pradesh",Reported fraud incident.,2025-03-06T07:05:57.164739Z,26.8561,80.9346
109,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-12T14:36:19.164765Z,12.9716,77.5946
110,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-06T02:24:32.164785Z,26.9124,75.7873
111,Theft,"Anna Salai, Chennai, Tamil Nadu",Reported theft incident.,2025-03-01T19:02:47.164803Z,13.063,80.2606
112,Vandalism,"Marine Drive, Mumbai, Maharashtra",Reported vandalism incident.,2025-03-05T05:15:09.164819Z,18.9436,72.8235
113,Murder,"Connaught Place, New Delhi",Reported murder incident.,2025-02-28T15:30:07.164836Z,28.6328,77.2197
114,Assault,"Gandhi Nagar, Jammu",Reported assault incident.,2025-03-08T04:15:30.164852Z,32.7186,74.8581
115,Drug Possession,"Hazratganj, Lucknow, Uttar Pradesh",Reported drug possession incident.,2025-03-08T09:00:30.164870Z,26.8561,80.9346
116,Fraud,"Salt Lake, Kolkata, West Bengal",Reported fraud incident.,2025-03-29T15:31:01.164888Z,22.5832,88.4088
117,Murder,"Anna Salai, Chennai, Tamil Nadu",Reported murder incident.,2025-03-15T06:16:28.164905Z,13.063,80.2606
118,Vandalism,"Anna Salai, Chennai, Tamil Nadu",Reported vandalism incident.,2025-03-14T07:21:06.164921Z,13.063,80.2606
119,Theft,"MI Road, Jaipur, Rajasthan",Reported theft incident.,2025-03-03T16:38:15.164937Z,26.9124,75.7873
120,Burglary,"Charminar, Hyderabad, Telangana",Reported burglary incident.,2025-03-23T04:20:47.164954Z,17.3616,78.4747
121,Theft,"Marine Drive, Mumbai, Maharashtra",Reported theft incident.,2025-03-28T13:12:02.164971Z,18.9436,72.8235
122,Kidnapping,"Anna Salai, Chennai, Tamil Nadu",Reported kidnapping incident.,2025-03-01T07:40:38.164987Z,13.063,80.2606
123,Murder,"Marine Drive, Mumbai, Maharashtra",Reported murder incident.,2025-03-10T16:19:58.165003Z,18.9436,72.8235
124,Drug Possession,"Charminar, Hyderabad, Telangana",Reported drug possession incident.,2025-03-23T13:16:15.165018Z,17.3616,78.4747
125,Drug Possession,"Salt Lake, Kolkata, West Bengal",Reported drug possession incident.,2025-03-19T23:05:02.165035Z,22.5832,88.4088
126,Fraud,"Gandhi Nagar, Jammu",Reported fraud incident.,2025-03-06T10:27:10.165052Z,32.7186,74.8581
127,Burglary,"Sector 17, Chandigarh",Reported burglary incident.,2025-03-26T03:53:23.165071Z,30.7353,76.7789
128,Drug Possession,"Sector 17, Chandigarh",Reported drug possession incident.,2025-03-19T18:30:20.165088Z,30.7353,76.7789
129,Theft,"Marine Drive, Mumbai, Maharashtra",Reported theft incident.,2025-03-03T23:33:41.165104Z,18.9436,72.8235
130,Vandalism,"Gandhi Nagar, Jammu",Reported vandalism incident.,2025-03-03T00:49:40.165122Z,32.7186,74.8581
131,Drug Possession,"Salt Lake, Kolkata, West Bengal",Reported drug possession incident.,2025-03-17T03:01:02.165139Z,22.5832,88.4088
132,Burglary,"Connaught Place, New Delhi",Reported burglary incident.,2025-03-30T04:58:40.165155Z,28.6328,77.2197
133,Vandalism,"Anna Salai, Chennai, Tamil Nadu",Reported vandalism incident.,2025-03-20T17:47:01.165171Z,13.063,80.2606
134,Theft,"Marine Drive, Mumbai, Maharashtra",Reported theft incident.,2025-03-20T02:28:19.165187Z,18.9436,72.8235
135,Murder,"Sector 17, Chandigarh",Reported murder incident.,2025-03-23T04:24:18.165201Z,30.7353,76.7789
136,Fraud,"Sector 17, Chandigarh",Reported fraud incident.,2025-03-13T02:16:12.165218Z,30.7353,76.7789
137,Kidnapping,"Gandhi Nagar, Jammu",Reported kidnapping incident.,2025-03-02T21:51:23.165246Z,32.7186,74.8581
138,Vandalism,"MG Road, Bengaluru, Karnataka",Reported vandalism incident.,2025-03-09T11:57:42.165262Z,12.9716,77.5946
139,Theft,"Connaught Place, New Delhi",Reported theft incident.,2025-03-03T15:35:05.165278Z,28.6328,77.2197
140,Vandalism,"MI Road, Jaipur, Rajasthan",Reported vandalism incident.,2025-03-08T23:20:48.165294Z,26.9124,75.7873
141,Murder,"MI Road, Jaipur, Rajasthan",Reported murder incident.,2025-03-27T13:28:43.165310Z,26.9124,75.7873
142,Fraud,"Marine Drive, Mumbai, Maharashtra",Reported fraud incident.,2025-03-29T07:26:58.165327Z,18.9436,72.8235
143,Murder,"Gandhi Nagar, Jammu",Reported murder incident.,2025-03-20T00:57:15.165344Z,32.7186,74.8581
144,Burglary,"Hazratganj, Lucknow, Uttar Pradesh",Reported burglary incident.,2025-03-05T08:58:18.165359Z,26.8561,80.9346
145,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-29T21:30:09.165381Z,30.7353,76.7789
146,Drug Possession,"MG Road, Bengaluru, Karnataka",Reported drug possession incident.,2025-03-29T23:27:09.165398Z,12.9716,77.5946
147,Drug Possession,"MG Road, Bengaluru, Karnataka",Reported drug possession incident.,2025-03-30T02:41:27.165414Z,12.9716,77.5946
148,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-06T08:41:47.165429Z,12.9716,77.5946
149,Vandalism,"Hazratganj, Lucknow, Uttar Pradesh",Reported vandalism incident.,2025-03-24T10:15:04.165445Z,26.8561,80.9346
150,Kidnapping,"Hazratganj, Lucknow, Uttar Pradesh",Reported kidnapping incident.,2025-03-29T07:28:22.165460Z,26.8561,80.9346
151,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-03-02T17:46:13.165607Z,22.5832,88.4088
152,Theft,"Hazratganj, Lucknow, Uttar Pradesh",Reported theft incident.,2025-03-01T10:48:06.165623Z,26.8561,80.9346
153,Fraud,"Marine Drive, Mumbai, Maharashtra",Reported fraud incident.,2025-03-23T03:46:07.165632Z,18.9436,72.8235
154,Burglary,"Salt Lake, Kolkata, West Bengal",Reported burglary incident.,2025-03-17T00:26:28.165640Z,22.5832,88.4088
155,Theft,"MG Road, Bengaluru, Karnataka",Reported theft incident.,2025-03-18T15:57:29.165648Z,12.9716,77.5946
156,Burglary,"Charminar, Hyderabad, Telangana",Reported burglary incident.,2025-03-19T05:30:41.165660Z,17.3616,78.4747
157,Assault,"Connaught Place, New Delhi",Reported assault incident.,2025-03-08T16:38:18.165670Z,28.6328,77.2197
158,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-28T07:17:48.165678Z,26.9124,75.7873
159,Fraud,"Anna Salai, Chennai, Tamil Nadu",Reported fraud incident.,2025-03-21T03:58:30.165687Z,13.063,80.2606
160,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-23T02:11:48.165695Z,30.7353,76.7789
161,Vandalism,"MG Road, Bengaluru, Karnataka",Reported vandalism incident.,2025-03-08T21:49:22.165704Z,12.9716,77.5946
162,Assault,"MG Road, Bengaluru, Karnataka",Reported assault incident.,2025-03-10T00:10:51.165712Z,12.9716,77.5946
163,Fraud,"MI Road, Jaipur, Rajasthan",Reported fraud incident.,2025-03-27T07:44:25.165720Z,26.9124,75.7873
164,Murder,"Connaught Place, New Delhi",Reported murder incident.,2025-03-01T03:26:09.165728Z,28.6328,77.2197
165,Kidnapping,"MG Road, Bengaluru, Karnataka",Reported kidnapping incident.,2025-03-27T07:35:33.165737Z,12.9716,77.5946
166,Theft,"MI Road, Jaipur, Rajasthan",Reported theft incident.,2025-03-21T01:34:08.165745Z,26.9124,75.7873
167,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-17T02:12:58.165753Z,32.7186,74.8581
168,Vandalism,"Salt Lake, Kolkata, West Bengal",Reported vandalism incident.,2025-03-28T10:09:06.165761Z,22.5832,88.4088
169,Fraud,"Anna Salai, Chennai, Tamil Nadu",Reported fraud incident.,2025-03-08T01:53:02.165770Z,13.063,80.2606
170,Burglary,"Anna Salai, Chennai, Tamil Nadu",Reported burglary incident.,2025-03-23T19:33:51.165779Z,13.063,80.2606
171,Fraud,"Salt Lake, Kolkata, West Bengal",Reported fraud incident.,2025-03-08T15:20:16.165787Z,22.5832,88.4088
172,Drug Possession,"MI Road, Jaipur, Rajasthan",Reported drug possession incident.,2025-03-25T07:07:55.165796Z,26.9124,75.7873
173,Assault,"Hazratganj, Lucknow, Uttar Pradesh",Reported assault incident.,2025-03-11T15:12:44.165805Z,26.8561,80.9346
174,Murder,"Connaught Place, New Delhi",Reported murder incident.,2025-03-28T03:38:01.165813Z,28.6328,77.2197
175,Kidnapping,"Sector 17, Chandigarh",Reported kidnapping incident.,2025-03-22T04:06:26.165822Z,30.7353,76.7789
176,Murder,"MG Road, Bengaluru, Karnataka",Reported murder incident.,2025-03-27T23:45:59.165830Z,12.9716,77.5946
177,Burglary,"Gandhi Nagar, Jammu",Reported burglary incident.,2025-03-31T03:39:10.165838Z,32.7186,74.8581
178,Vandalism,"MI Road, Jaipur, Rajasthan",Reported vandalism incident.,2025-03-22T14:50:04.165847Z,26.9124,75.7873
179,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-28T07:37:50.165856Z,17.3616,78.4747
180,Fraud,"Gandhi Nagar, Jammu",Reported fraud incident.,2025-03-08T09:33:29.165865Z,32.7186,74.8581
181,Murder,"Marine Drive, Mumbai, Maharashtra",Reported murder incident.,2025-03-16T02:54:22.165873Z,18.9436,72.8235
182,Fraud,"Marine Drive, Mumbai, Maharashtra",Reported fraud incident.,2025-03-02T01:19:15.165882Z,18.9436,72.8235
183,Burglary,"Marine Drive, Mumbai, Maharashtra",Reported burglary incident.,2025-03-09T09:04:24.165890Z,18.9436,72.8235
184,Theft,"Hazratganj, Lucknow, Uttar Pradesh",Reported theft incident.,2025-03-03T03:22:28.165899Z,26.8561,80.9346
185,Drug Possession,"MI Road, Jaipur, Rajasthan",Reported drug possession incident.,2025-03-01T11:12:10.165913Z,26.9124,75.7873
186,Assault,"Anna Salai, Chennai, Tamil Nadu",Reported assault incident.,2025-03-17T04:31:03.165930Z,13.063,80.2606
187,Burglary,"Anna Salai, Chennai, Tamil Nadu",Reported burglary incident.,2025-03-13T12:44:01.165946Z,13.063,80.2606
188,Assault,"Marine Drive, Mumbai, Maharashtra",Reported assault incident.,2025-03-16T06:49:45.165963Z,18.9436,72.8235
189,Fraud,"Gandhi Nagar, Jammu",Reported fraud incident.,2025-03-14T03:54:13.165974Z,32.7186,74.8581
190,Burglary,"Hazratganj, Lucknow, Uttar Pradesh",Reported burglary incident.,2025-03-09T07:59:50.165983Z,26.8561,80.9346
191,Theft,"MI Road, Jaipur, Rajasthan",Reported theft incident.,2025-03-18T12:33:30.165991Z,26.9124,75.7873
192,Fraud,"Connaught Place, New Delhi",Reported fraud incident.,2025-03-12T06:11:14.166000Z,28.6328,77.2197
193,Kidnapping,"Marine Drive, Mumbai, Maharashtra",Reported kidnapping incident.,2025-03-28T18:41:57.166008Z,18.9436,72.8235
194,Theft,"Gandhi Nagar, Jammu",Reported theft incident.,2025-03-05T20:25:49.166016Z,32.7186,74.8581
195,Fraud,"Marine Drive, Mumbai, Maharashtra",Reported fraud incident.,2025-03-15T18:42:13.166025Z,18.9436,72.8235
196,Kidnapping,"Marine Drive, Mumbai, Maharashtra",Reported kidnapping incident.,2025-03-01T06:54:51.166033Z,18.9436,72.8235
197,Drug Possession,"Anna Salai, Chennai, Tamil Nadu",Reported drug possession incident.,2025-03-02T15:39:11.166041Z,13.063,80.2606
198,Fraud,"MG Road, Bengaluru, Karnataka",Reported fraud incident.,2025-02-28T12:56:56.166050Z,12.9716,77.5946
199,Assault,"Gandhi Nagar, Jammu",Reported assault incident.,2025-03-16T05:58:46.166059Z,32.7186,74.8581
200,Murder,"Hazratganj, Lucknow, Uttar Pradesh",Reported murder incident.,2025-03-01T12:46:42.166067Z,26.8561,80.9346
201,Murder,"Gandhi Nagar, Jammu",Reported murder incident.,2025-03-18T07:29:27.166075Z,32.7186,74.8581
202,Drug Possession,"Sector 17, Chandigarh",Reported drug possession incident.,2025-03-09T06:32:05.166083Z,30.7353,76.7789
203,Kidnapping,"MG Road, Bengaluru, Karnataka",Reported kidnapping incident.,2025-03-13T23:45:41.166092Z,12.9716,77.5946
204,Assault,"Hazratganj, Lucknow, Uttar Pradesh",Reported assault incident.,2025-03-02T14:17:05.166100Z,26.8561,80.9346
205,Kidnapping,"MG Road, Bengaluru, Karnataka",Reported kidnapping incident.,2025-03-06T23:16:33.166108Z,12.9716,77.5946
206,Kidnapping,"Gandhi Nagar, Jammu",Reported kidnapping incident.,2025-03-08T05:35:20.166116Z,32.7186,74.8581
207,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-02-28T12:28:27.166124Z,22.5832,88.4088
208,Vandalism,"Salt Lake, Kolkata, West Bengal",Reported vandalism incident.,2025-03-28T09:01:08.166133Z,22.5832,88.4088
209,Assault,"MI Road, Jaipur, Rajasthan",Reported assault incident.,2025-03-12T11:15:40.166141Z,26.9124,75.7873
210,Burglary,"Marine Drive, Mumbai, Maharashtra",Reported burglary incident.,2025-03-01T02:03:30.166149Z,18.9436,72.8235
211,Assault,"Gandhi Nagar, Jammu",Reported assault incident.,2025-03-02T18:14:01.166158Z,32.7186,74.8581
212,Kidnapping,"Salt Lake, Kolkata, West Bengal",Reported kidnapping incident.,2025-03-01T04:21:24.166166Z,22.5832,88.4088
213,Kidnapping,"Gandhi Nagar, Jammu",Reported kidnapping incident.,2025-03-10T06:30:36.166178Z,32.7186,74.8581
214,Theft,"Hazratganj, Lucknow, Uttar Pradesh",Reported theft incident.,2025-03-18T20:14:38.166194Z,26.8561,80.9346
215,Murder,"MI Road, Jaipur, Rajasthan",Reported murder incident.,2025-03-14T01:48:03.166212Z,26.9124,75.7873
216,Fraud,"Hazratganj, Lucknow, Uttar Pradesh",Reported fraud incident.,2025-03-03T02:51:43.166228Z,26.8561,80.9346
217,Kidnapping,"Charminar, Hyderabad, Telangana",Reported kidnapping incident.,2025-03-23T10:13:38.166244Z,17.3616,78.4747
218,Murder,"Anna Salai, Chennai, Tamil Nadu",Reported murder incident.,2025-03-19T12:23:16.166259Z,13.063,80.2606
