State,City,District,Crime Type,Date & Time,Latitude,Longitude,Accused Age,Accused Gender,Prior Convictions,Victim Age,Victim Gender,Victim Relationship,FIR Filed,Case Status
Tamil Nadu,Coimbatore,Coimbatore,Kidnapping,2021-06-25 09:10:30,11.0168,76.9558,46,Male,0,66,Female,Family,No,Solved
Uttar Pradesh,Kakori,Lucknow,Theft,2021-11-09 01:01:30,26.8467,80.9462,54,Male,1,25,Male,Neighbor,No,Ongoing
Uttar Pradesh,Agra,Agra,Assault,2021-07-30 01:50:30,27.1767,78.0081,27,Male,3,16,Male,Neighbor,No,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Theft,2022-02-01 13:33:30,25.3176,82.9739,59,Female,0,54,Female,Colleague,Yes,Solved
Tamil Nadu,Coimbatore,Coimbatore,Fraud,2020-02-15 04:37:30,11.0168,76.9558,51,Female,4,54,Female,Family,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Assault,2021-05-31 10:10:30,25.3176,82.9739,48,Male,3,6,Male,Colleague,No,Ongoing
Uttar Pradesh,Agra,Agra,Fraud,2020-06-07 15:55:30,27.1767,78.0081,52,Female,1,47,Female,Colleague,No,Ongoing
Maharashtra,Dombivli,Mumbai,Assault,2023-12-10 02:35:30,19.076,72.8777,47,Female,4,30,Male,Neighbor,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2020-12-13 12:18:30,26.4499,80.3319,55,Male,1,48,Male,Family,Yes,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Theft,2022-08-28 17:19:30,26.4499,80.3319,33,Female,2,49,Male,Family,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Assault,2020-08-28 13:48:30,11.0168,76.9558,60,Female,4,40,Female,Neighbor,No,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Murder,2021-01-17 11:36:30,25.3176,82.9739,49,Male,4,66,Female,Neighbor,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Kidnapping,2022-02-06 06:35:30,25.3176,82.9739,41,Female,4,73,Male,Stranger,Yes,Ongoing
Maharashtra,Nagpur,Nagpur,Kidnapping,2023-11-29 09:48:30,21.1458,79.0882,32,Male,3,76,Male,Neighbor,No,Ongoing
Uttar Pradesh,Agra,Agra,Assault,2021-10-26 04:10:30,27.1767,78.0081,24,Male,3,25,Female,Neighbor,No,Unsolved
Uttar Pradesh,Agra,Agra,Kidnapping,2020-02-15 18:59:30,27.1767,78.0081,55,Male,1,43,Male,Friend,Yes,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2021-02-08 13:00:30,26.4499,80.3319,30,Male,3,79,Male,Family,No,Ongoing
Uttar Pradesh,Agra,Agra,Theft,2024-01-18 11:25:30,27.1767,78.0081,43,Male,0,54,Male,Neighbor,No,Solved
Maharashtra,Pune,Pune,Murder,2023-11-17 00:02:30,18.5204,73.8567,56,Female,4,72,Female,Family,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Kidnapping,2023-11-13 21:26:30,11.0168,76.9558,35,Female,2,17,Female,Family,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Burglary,2021-08-05 05:41:30,13.0827,80.2707,37,Female,4,6,Male,Stranger,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Burglary,2021-04-20 02:54:30,25.3176,82.9739,18,Male,3,32,Female,Stranger,Yes,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Theft,2022-01-25 08:56:30,25.3176,82.9739,50,Male,5,79,Male,Colleague,Yes,Unsolved
Maharashtra,Nagpur,Nagpur,Kidnapping,2021-02-20 17:36:30,21.1458,79.0882,51,Male,2,77,Male,Neighbor,Yes,Ongoing
Maharashtra,Nagpur,Nagpur,Murder,2021-08-11 19:09:30,21.1458,79.0882,18,Male,3,36,Male,Family,No,Ongoing
Maharashtra,Pune,Pune,Kidnapping,2021-12-17 18:12:30,18.5204,73.8567,39,Female,3,65,Male,Colleague,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Fraud,2022-06-25 20:34:30,26.4499,80.3319,41,Female,5,51,Female,Neighbor,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Theft,2020-10-25 13:32:30,11.0168,76.9558,58,Female,1,79,Female,Friend,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Fraud,2021-06-11 03:41:30,11.0168,76.9558,29,Female,5,20,Male,Stranger,No,Ongoing
Uttar Pradesh,Varanasi,Varanasi,Assault,2021-03-25 00:02:30,25.3176,82.9739,19,Female,3,36,Male,Family,No,Solved
Maharashtra,Vasai,Mumbai,Burglary,2023-01-25 08:54:30,19.076,72.8777,52,Male,0,79,Male,Friend,No,Ongoing
Maharashtra,Nagpur,Nagpur,Fraud,2023-10-27 11:54:30,21.1458,79.0882,43,Female,5,29,Male,Stranger,Yes,Ongoing
Uttar Pradesh,Bakshi Ka Talab,Lucknow,Murder,2021-11-10 18:18:30,26.8467,80.9462,27,Male,0,46,Female,Stranger,No,Unsolved
Maharashtra,Kalyan,Mumbai,Kidnapping,2024-02-26 13:29:30,19.076,72.8777,25,Female,3,14,Male,Family,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Theft,2024-10-04 13:10:30,13.0827,80.2707,46,Female,4,53,Female,Friend,Yes,Ongoing
Maharashtra,Pune,Pune,Burglary,2022-05-08 10:56:30,18.5204,73.8567,50,Male,2,23,Female,Colleague,No,Ongoing
Maharashtra,Nagpur,Nagpur,Kidnapping,2023-12-17 16:14:30,21.1458,79.0882,37,Male,4,20,Female,Colleague,No,Unsolved
Tamil Nadu,Chennai,Chennai,Kidnapping,2022-04-07 14:31:30,13.0827,80.2707,19,Male,4,77,Male,Colleague,Yes,Ongoing
Maharashtra,Mira Bhayandar,Mumbai,Fraud,2025-01-08 19:34:30,19.076,72.8777,22,Female,0,55,Female,Neighbor,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Murder,2024-03-07 06:21:30,26.4499,80.3319,58,Male,5,55,Female,Stranger,Yes,Unsolved
Uttar Pradesh,Agra,Agra,Kidnapping,2020-12-02 00:03:30,27.1767,78.0081,35,Female,1,59,Male,Neighbor,Yes,Solved
Maharashtra,Nagpur,Nagpur,Burglary,2024-10-15 06:56:30,21.1458,79.0882,46,Female,4,29,Male,Friend,No,Unsolved
Uttar Pradesh,Agra,Agra,Burglary,2021-06-03 03:12:30,27.1767,78.0081,22,Male,5,39,Female,Friend,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Kidnapping,2022-05-13 12:49:30,26.4499,80.3319,45,Female,5,40,Female,Family,No,Unsolved
Tamil Nadu,Chennai,Chennai,Fraud,2020-09-24 13:49:30,13.0827,80.2707,27,Female,0,70,Female,Stranger,No,Ongoing
Uttar Pradesh,Chinhat,Lucknow,Theft,2020-06-13 07:54:30,26.8467,80.9462,60,Female,2,55,Male,Neighbor,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Theft,2024-07-28 07:07:30,13.0827,80.2707,60,Female,0,11,Male,Stranger,No,Solved
Maharashtra,Thane,Thane,Burglary,2024-07-29 04:51:30,19.2183,72.9781,59,Female,0,75,Male,Stranger,Yes,Unsolved
Maharashtra,Pune,Pune,Fraud,2022-11-05 11:29:30,18.5204,73.8567,53,Female,4,14,Male,Family,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Theft,2024-01-03 20:38:30,11.0168,76.9558,31,Male,2,12,Male,Friend,Yes,Unsolved
Maharashtra,Nagpur,Nagpur,Fraud,2024-11-04 22:50:30,21.1458,79.0882,57,Male,5,40,Male,Stranger,No,Unsolved
Maharashtra,Thane,Thane,Murder,2023-06-15 19:01:30,19.2183,72.9781,32,Male,1,25,Female,Friend,Yes,Solved
Tamil Nadu,Coimbatore,Coimbatore,Burglary,2021-02-21 14:14:30,11.0168,76.9558,40,Male,0,11,Female,Friend,No,Ongoing
Maharashtra,Nagpur,Nagpur,Murder,2021-11-01 22:30:30,21.1458,79.0882,30,Male,1,24,Female,Neighbor,No,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2022-10-13 16:35:30,26.4499,80.3319,44,Male,5,46,Female,Friend,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Assault,2021-01-20 01:40:30,25.3176,82.9739,49,Male,0,40,Female,Colleague,Yes,Ongoing
Uttar Pradesh,Gosainganj,Lucknow,Assault,2022-02-07 23:04:30,26.8467,80.9462,47,Male,5,50,Male,Friend,Yes,Unsolved
Uttar Pradesh,Agra,Agra,Fraud,2024-08-01 07:08:30,27.1767,78.0081,42,Female,5,62,Female,Family,No,Unsolved
Maharashtra,Nagpur,Nagpur,Theft,2023-08-31 06:50:30,21.1458,79.0882,35,Female,0,22,Male,Neighbor,No,Unsolved
Maharashtra,Thane,Thane,Assault,2022-06-26 14:33:30,19.2183,72.9781,34,Female,3,78,Male,Neighbor,Yes,Solved
Uttar Pradesh,Barabanki,Lucknow,Murder,2023-03-29 11:58:30,26.8467,80.9462,57,Male,5,7,Male,Friend,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Assault,2020-06-30 18:40:30,11.0168,76.9558,29,Male,3,19,Male,Stranger,Yes,Ongoing
Maharashtra,Pune,Pune,Kidnapping,2020-07-03 22:59:30,18.5204,73.8567,58,Female,5,27,Female,Colleague,Yes,Ongoing
Maharashtra,Thane,Thane,Murder,2021-07-07 03:27:30,19.2183,72.9781,37,Female,1,17,Male,Colleague,No,Solved
Maharashtra,Bhiwandi,Mumbai,Fraud,2021-03-12 03:28:30,19.076,72.8777,53,Female,1,55,Female,Neighbor,Yes,Unsolved
Maharashtra,Nagpur,Nagpur,Theft,2021-08-06 18:35:30,21.1458,79.0882,40,Male,4,47,Female,Colleague,No,Ongoing
Maharashtra,Thane,Mumbai,Theft,2021-11-12 02:40:30,19.076,72.8777,41,Female,5,42,Female,Friend,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Theft,2020-03-07 18:44:30,26.4499,80.3319,28,Female,5,19,Male,Family,No,Solved
Maharashtra,Navi Mumbai,Mumbai,Assault,2020-10-06 22:53:30,19.076,72.8777,18,Female,1,46,Male,Family,Yes,Solved
Maharashtra,Nagpur,Nagpur,Burglary,2024-01-01 06:13:30,21.1458,79.0882,58,Male,3,30,Male,Friend,No,Ongoing
Uttar Pradesh,Kanpur,Kanpur Nagar,Burglary,2021-12-20 02:12:30,26.4499,80.3319,53,Male,3,10,Male,Friend,No,Solved
Maharashtra,Dombivli,Mumbai,Fraud,2022-12-18 18:13:30,19.076,72.8777,27,Female,2,26,Female,Colleague,No,Unsolved
Maharashtra,Thane,Thane,Assault,2020-11-08 02:53:30,19.2183,72.9781,56,Female,0,17,Male,Stranger,No,Unsolved
Uttar Pradesh,Malihabad,Lucknow,Theft,2022-05-18 16:29:30,26.8467,80.9462,29,Female,2,51,Male,Colleague,No,Solved
Maharashtra,Nagpur,Nagpur,Theft,2024-08-01 09:24:30,21.1458,79.0882,28,Female,3,9,Female,Family,Yes,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2020-10-25 06:26:30,26.4499,80.3319,20,Male,2,68,Male,Colleague,No,Solved
Uttar Pradesh,Agra,Agra,Kidnapping,2021-09-24 02:12:30,27.1767,78.0081,27,Female,4,22,Female,Friend,Yes,Unsolved
Tamil Nadu,Chennai,Chennai,Assault,2021-05-22 14:03:30,13.0827,80.2707,28,Male,0,65,Male,Stranger,Yes,Solved
Uttar Pradesh,Varanasi,Varanasi,Theft,2023-11-19 23:52:30,25.3176,82.9739,38,Female,0,72,Female,Friend,No,Solved
Maharashtra,Nagpur,Nagpur,Kidnapping,2022-12-17 08:35:30,21.1458,79.0882,24,Female,1,43,Male,Family,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Burglary,2023-07-09 00:23:30,11.0168,76.9558,53,Female,5,47,Female,Neighbor,No,Solved
Maharashtra,Nagpur,Nagpur,Fraud,2021-05-10 23:08:30,21.1458,79.0882,24,Female,0,44,Female,Friend,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Kidnapping,2023-02-06 18:10:30,13.0827,80.2707,60,Male,5,64,Female,Family,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2024-11-24 02:14:30,26.4499,80.3319,46,Female,5,71,Female,Neighbor,No,Unsolved
Maharashtra,Nagpur,Nagpur,Fraud,2021-06-04 13:56:30,21.1458,79.0882,40,Male,5,78,Female,Stranger,Yes,Unsolved
Maharashtra,Nagpur,Nagpur,Murder,2024-02-13 13:46:30,21.1458,79.0882,58,Female,5,8,Female,Stranger,Yes,Solved
Tamil Nadu,Chennai,Chennai,Fraud,2023-07-13 19:24:30,13.0827,80.2707,49,Male,2,68,Male,Family,Yes,Ongoing
Maharashtra,Vasai,Mumbai,Murder,2020-08-18 07:44:30,19.076,72.8777,41,Male,4,72,Female,Neighbor,No,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Theft,2022-12-11 04:05:30,25.3176,82.9739,49,Male,1,43,Female,Colleague,Yes,Solved
Uttar Pradesh,Mohanlalganj,Lucknow,Murder,2022-09-05 05:55:30,26.8467,80.9462,41,Male,3,13,Female,Stranger,No,Solved
Maharashtra,Thane,Thane,Assault,2020-07-16 11:15:30,19.2183,72.9781,32,Male,2,47,Male,Stranger,No,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Murder,2021-01-03 02:35:30,11.0168,76.9558,32,Female,2,61,Female,Colleague,No,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Kidnapping,2023-10-07 13:31:30,25.3176,82.9739,28,Female,4,32,Female,Colleague,Yes,Ongoing
Uttar Pradesh,Kanpur,Kanpur Nagar,Fraud,2022-12-07 09:53:30,26.4499,80.3319,28,Male,4,22,Female,Friend,Yes,Solved
Maharashtra,Thane,Thane,Burglary,2023-02-05 08:31:30,19.2183,72.9781,18,Female,1,13,Female,Neighbor,Yes,Solved
Maharashtra,Thane,Thane,Assault,2024-09-27 21:53:30,19.2183,72.9781,41,Male,4,75,Male,Neighbor,No,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2024-10-12 19:07:30,26.4499,80.3319,49,Female,0,80,Female,Friend,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Fraud,2024-04-23 21:04:30,27.1767,78.0081,57,Male,1,67,Female,Colleague,Yes,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Assault,2023-10-24 20:05:30,26.4499,80.3319,23,Male,1,60,Male,Stranger,No,Ongoing
Uttar Pradesh,Kanpur,Kanpur Nagar,Burglary,2022-07-14 04:59:30,26.4499,80.3319,45,Female,3,22,Male,Neighbor,No,Solved
Tamil Nadu,Coimbatore,Coimbatore,Kidnapping,2024-04-16 03:22:30,11.0168,76.9558,22,Male,1,28,Female,Friend,No,Unsolved
Uttar Pradesh,Kakori,Lucknow,Murder,2023-04-23 06:27:30,26.8467,80.9462,29,Female,3,25,Female,Colleague,No,Solved
Maharashtra,Pune,Pune,Fraud,2021-05-21 01:09:30,18.5204,73.8567,52,Male,3,23,Male,Family,Yes,Solved
Tamil Nadu,Chennai,Chennai,Murder,2022-08-28 11:17:30,13.0827,80.2707,58,Male,0,45,Male,Stranger,No,Unsolved
Uttar Pradesh,Agra,Agra,Kidnapping,2020-09-07 03:25:30,27.1767,78.0081,55,Female,5,80,Male,Stranger,No,Ongoing
Maharashtra,Nagpur,Nagpur,Kidnapping,2020-10-24 17:19:30,21.1458,79.0882,42,Female,1,12,Male,Family,Yes,Solved
Tamil Nadu,Coimbatore,Coimbatore,Assault,2020-03-27 16:42:30,11.0168,76.9558,45,Female,4,5,Female,Neighbor,No,Unsolved
Maharashtra,Thane,Thane,Fraud,2023-11-22 09:49:30,19.2183,72.9781,21,Female,4,30,Female,Family,Yes,Unsolved
Uttar Pradesh,Varanasi,Varanasi,Fraud,2022-11-27 18:33:30,25.3176,82.9739,39,Male,5,22,Female,Neighbor,No,Solved
Maharashtra,Thane,Thane,Burglary,2024-05-31 02:31:30,19.2183,72.9781,44,Female,5,61,Male,Colleague,No,Solved
Maharashtra,Pune,Pune,Assault,2021-08-03 19:16:30,18.5204,73.8567,18,Female,1,30,Male,Colleague,No,Solved
Maharashtra,Nagpur,Nagpur,Theft,2022-05-25 15:49:30,21.1458,79.0882,23,Male,0,40,Male,Stranger,No,Solved
Tamil Nadu,Chennai,Chennai,Burglary,2022-07-14 21:23:30,13.0827,80.2707,24,Male,3,5,Female,Stranger,No,Solved
Maharashtra,Pune,Pune,Kidnapping,2022-05-27 00:48:30,18.5204,73.8567,47,Male,2,48,Female,Neighbor,No,Ongoing
Maharashtra,Kalyan,Mumbai,Murder,2022-07-23 23:41:30,19.076,72.8777,36,Male,2,8,Male,Stranger,Yes,Solved
Tamil Nadu,Chennai,Chennai,Burglary,2024-08-28 15:35:30,13.0827,80.2707,54,Female,0,65,Female,Friend,Yes,Unsolved
Maharashtra,Pune,Pune,Kidnapping,2021-02-23 21:50:30,18.5204,73.8567,32,Male,5,47,Female,Stranger,Yes,Ongoing
Maharashtra,Pune,Pune,Murder,2023-06-12 01:25:30,18.5204,73.8567,29,Female,3,72,Male,Neighbor,Yes,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Theft,2024-05-06 00:12:30,11.0168,76.9558,26,Male,3,80,Male,Family,No,Ongoing
Maharashtra,Nagpur,Nagpur,Burglary,2024-09-04 20:49:30,21.1458,79.0882,29,Female,3,30,Female,Neighbor,No,Ongoing
Uttar Pradesh,Agra,Agra,Fraud,2020-10-16 00:37:30,27.1767,78.0081,56,Female,0,32,Male,Neighbor,No,Unsolved
Maharashtra,Pune,Pune,Assault,2020-07-09 06:19:30,18.5204,73.8567,56,Male,1,44,Male,Stranger,Yes,Ongoing
Uttar Pradesh,Bakshi Ka Talab,Lucknow,Theft,2021-02-17 12:44:30,26.8467,80.9462,41,Female,2,56,Male,Colleague,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Murder,2025-01-16 15:07:30,11.0168,76.9558,37,Female,5,42,Female,Neighbor,Yes,Unsolved
Uttar Pradesh,Chinhat,Lucknow,Theft,2022-04-23 05:42:30,26.8467,80.9462,56,Male,5,62,Male,Friend,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Kidnapping,2020-04-29 04:02:30,26.4499,80.3319,35,Male,3,28,Male,Stranger,No,Unsolved
Tamil Nadu,Coimbatore,Coimbatore,Assault,2023-03-12 13:06:30,11.0168,76.9558,34,Female,3,14,Male,Stranger,Yes,Solved
Tamil Nadu,Chennai,Chennai,Assault,2021-07-13 00:36:30,13.0827,80.2707,21,Female,2,57,Female,Family,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Assault,2021-06-05 03:27:30,13.0827,80.2707,41,Male,5,21,Female,Neighbor,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Theft,2022-11-03 07:16:30,27.1767,78.0081,26,Female,0,71,Male,Family,Yes,Solved
Maharashtra,Mira Bhayandar,Mumbai,Assault,2020-09-21 15:37:30,19.076,72.8777,59,Male,2,42,Male,Colleague,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Fraud,2022-09-23 19:15:30,26.4499,80.3319,59,Male,1,52,Male,Colleague,No,Solved
Maharashtra,Bhiwandi,Mumbai,Murder,2021-12-04 10:37:30,19.076,72.8777,25,Male,0,45,Male,Colleague,No,Unsolved
Uttar Pradesh,Agra,Agra,Assault,2020-09-23 15:35:30,27.1767,78.0081,31,Female,0,77,Female,Friend,Yes,Ongoing
Tamil Nadu,Chennai,Chennai,Theft,2022-01-09 12:45:30,13.0827,80.2707,19,Female,1,70,Female,Neighbor,Yes,Ongoing
Maharashtra,Pune,Pune,Kidnapping,2020-07-23 21:44:30,18.5204,73.8567,25,Female,1,20,Male,Neighbor,Yes,Unsolved
Maharashtra,Pune,Pune,Burglary,2023-10-01 22:35:30,18.5204,73.8567,52,Male,4,37,Male,Colleague,No,Unsolved
Uttar Pradesh,Kanpur,Kanpur Nagar,Murder,2024-11-02 11:20:30,26.4499,80.3319,31,Female,0,57,Male,Stranger,Yes,Ongoing
Maharashtra,Nagpur,Nagpur,Fraud,2024-03-15 20:44:30,21.1458,79.0882,40,Female,2,10,Female,Stranger,Yes,Unsolved
Maharashtra,Pune,Pune,Theft,2020-11-10 02:53:30,18.5204,73.8567,50,Female,0,62,Female,Stranger,No,Solved
Uttar Pradesh,Kanpur,Kanpur Nagar,Theft,2022-08-19 18:03:30,26.4499,80.3319,20,Male,2,55,Male,Colleague,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Fraud,2023-08-01 00:08:30,11.0168,76.9558,39,Female,5,71,Male,Family,Yes,Solved
Tamil Nadu,Chennai,Chennai,Burglary,2023-05-04 07:26:30,13.0827,80.2707,30,Female,4,60,Female,Family,No,Ongoing
Uttar Pradesh,Gosainganj,Lucknow,Assault,2021-07-18 10:08:30,26.8467,80.9462,26,Female,1,19,Male,Neighbor,Yes,Solved
Tamil Nadu,Coimbatore,Coimbatore,Burglary,2024-10-14 00:28:30,11.0168,76.9558,39,Male,0,46,Male,Stranger,No,Unsolved
Tamil Nadu,Chennai,Chennai,Kidnapping,2021-03-06 07:44:30,13.0827,80.2707,25,Male,5,62,Female,Neighbor,No,Unsolved
Maharashtra,Thane,Mumbai,Theft,2020-04-29 23:08:30,19.076,72.8777,38,Male,3,80,Male,Colleague,Yes,Solved
Maharashtra,Navi Mumbai,Mumbai,Fraud,2022-08-22 09:16:30,19.076,72.8777,40,Female,3,17,Male,Colleague,No,Unsolved
Maharashtra,Pune,Pune,Fraud,2022-09-18 17:49:30,18.5204,73.8567,60,Male,5,5,Male,Family,No,Ongoing
Uttar Pradesh,Barabanki,Lucknow,Assault,2020-05-10 15:03:30,26.8467,80.9462,48,Male,3,47,Male,Colleague,Yes,Ongoing
Uttar Pradesh,Malihabad,Lucknow,Theft,2024-12-07 09:33:30,26.8467,80.9462,27,Male,5,33,Male,Family,No,Unsolved
Maharashtra,Pune,Pune,Burglary,2022-12-08 11:34:30,18.5204,73.8567,56,Female,1,60,Male,Stranger,No,Solved
Maharashtra,Dombivli,Mumbai,Fraud,2022-08-02 00:48:30,19.076,72.8777,27,Male,1,13,Female,Friend,No,Solved
Uttar Pradesh,Varanasi,Varanasi,Kidnapping,2022-12-06 19:17:30,25.3176,82.9739,54,Male,1,62,Male,Family,Yes,Ongoing
Tamil Nadu,Coimbatore,Coimbatore,Theft,2023-08-11 10:14:30,11.0168,76.9558,58,Male,4,59,Male,Friend,No,Solved
Uttar Pradesh,Agra,Agra,Burglary,2023-08-01 03:44:30,27.1767,78.0081,41,Male,1,54,Male,Colleague,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Murder,2020-06-23 08:30:30,27.1767,78.0081,21,Male,2,42,Male,Friend,Yes,Ongoing
Uttar Pradesh,Agra,Agra,Assault,2021-11-19 01:50:30,27.1767,78.0081,22,Male,1,12,Female,Colleague,No,Ongoing
Maharashtra,Vasai,Mumbai,Burglary,2024-09-14 18:58:30,19.076,72.8777,35,Male,1,79,Male,Colleague,No,Unsolved
Maharashtra,Kalyan,Mumbai,Assault,2021-12-29 08:18:30,19.076,72.8777,31,Female,0,7,Male,Friend,No,Unsolved
Uttar Pradesh,Mohanlalganj,Lucknow,Burglary,2025-01-30 15:35:30,26.8467,80.9462,48,Male,2,42,Female,Colleague,Yes,Solved
Uttar Pradesh,Agra,Agra,Kidnapping,2021-01-31 18:16:30,27.1767,78.0081,49,Male,4,55,Female,Family,No,Unsolved
Maharashtra,Pune,Pune,Theft,2021-04-16 19:06:30,18.5204,73.8567,42,Female,1,11,Male,Neighbor,No,Ongoing
Uttar Pradesh,Kakori,Lucknow,Burglary,2020-06-12 02:20:30,26.8467,80.9462,19,Female,3,28,Male,Stranger,Yes,Solved
