State,City,District,Crime Type,Date & Time,Latitude,Longitude,Accused Age,Accused Gender,Prior Convictions,Victim Age,Victim Gender,Victim Relationship,FIR Filed,Case Status,Area
Maharashtra,Thane,Thane,Cybercrime,1/19/2018 4:28,19.18231,73.125119,56,Male,2,54,Female,Neighbor,No,Ongoing,Ghodbunder Road
Maharashtra,Thane,Thane,Domestic Violence,2/13/2018 15:57,19.267376,72.914329,51,Male,2,32,Female,Colleague,Yes,Ongoing,Louis Wadi
Maharashtra,Thane,Thane,Cheating,11/2/2025 21:03,19.257285,73.13857,55,Male,3,14,Male,Neighbor,No,Ongoing,Majiwada
Maharashtra,Thane,Thane,Murder,12/16/2020 5:20,19.186686,73.163204,35,Male,5,41,Male,Friend,Yes,Ongoing,Manpada
Maharashtra,Thane,Thane,Robbery,5/30/2021 16:43,19.161699,73.018467,41,Female,4,27,Male,Stranger,No,Pending,Kasarvadavali
Maharashtra,Thane,Thane,Assault,8/25/2020 17:43,19.239611,72.93721,63,Female,5,61,Female,Stranger,No,Ongoing,Majiwada
Maharashtra,Thane,Thane,Murder,8/19/2021 0:04,19.15823,72.903532,67,Male,0,62,Male,Colleague,No,Ongoing,Majiwada
Maharashtra,Thane,Thane,Assault,12/10/2019 22:33,19.238367,73.181871,36,Female,1,11,Male,Colleague,No,Solved,Brahmand
Maharashtra,Thane,Thane,Fraud,5/4/2022 0:14,19.2183,72.9781,56,Female,1,45,Male,Friend,Yes,Ongoing,Kolshet
Maharashtra,Thane,Thane,Assault,10/27/2024 5:38,19.232882,73.163429,35,Female,3,19,Male,Family,No,Ongoing,Patlipada
Maharashtra,Thane,Thane,Domestic Violence,12/30/2023 9:44,19.244162,72.935265,17,Male,1,77,Male,Friend,Yes,Solved,Dhokali
Maharashtra,Thane,Thane,Domestic Violence,2/2/2018 16:50,19.197392,72.935342,61,Male,5,7,Female,Neighbor,Yes,Ongoing,Dhokali
Maharashtra,Thane,Thane,Robbery,8/30/2021 4:35,19.154406,72.987294,42,Male,4,74,Female,Family,Yes,Pending,Panchpakhadi
Maharashtra,Thane,Thane,Drug Offense,7/25/2022 16:43,19.22859,73.12285,44,Female,5,16,Female,Family,Yes,Pending,Naupada
Maharashtra,Thane,Thane,Kidnapping,8/14/2024 22:55,19.232115,72.928405,67,Female,1,29,Male,Family,Yes,Solved,Kasarvadavali
Maharashtra,Thane,Thane,Domestic Violence,12/13/2025 4:37,19.266725,72.969045,30,Female,3,24,Female,Family,Yes,Pending,Vartak Nagar
Maharashtra,Thane,Thane,Assault,6/27/2019 16:55,19.189478,73.103999,33,Male,4,57,Male,Neighbor,Yes,Solved,Dhokali
Maharashtra,Thane,Thane,Kidnapping,8/31/2025 11:42,19.161208,72.914673,50,Female,2,62,Male,Neighbor,Yes,Solved,Patlipada
Maharashtra,Thane,Thane,Cheating,8/12/2018 14:16,19.231662,72.954208,18,Male,4,79,Male,Friend,No,Ongoing,Saket
Maharashtra,Thane,Thane,Murder,7/20/2020 23:08,19.243532,73.090588,20,Male,0,53,Female,Friend,Yes,Pending,Panchpakhadi
Maharashtra,Thane,Thane,Murder,6/15/2023 19:01,19.2183,72.9781,32,Male,1,25,Female,Friend,Yes,Solved,Kolshet
Maharashtra,Thane,Thane,Fraud,11/22/2023 9:49,19.2183,72.9781,21,Female,4,30,Female,Family,Yes,Unsolved,Majiwada
Maharashtra,Thane,Thane,Cybercrime,3/1/2018 22:24,19.241296,73.037562,21,Male,4,54,Male,Family,Yes,Pending,Kasarvadavali
Maharashtra,Thane,Thane,Drug Offense,6/19/2018 0:07,19.184858,73.051223,42,Male,2,14,Female,Friend,Yes,Solved,Majiwada
Maharashtra,Thane,Thane,Domestic Violence,1/22/2025 9:26,19.199292,73.005232,70,Male,5,28,Female,Neighbor,Yes,Solved,Kolshet
Maharashtra,Thane,Thane,Burglary,5/31/2024 2:31,19.2183,72.9781,44,Female,5,61,Male,Colleague,No,Solved,Manpada
Maharashtra,Thane,Thane,Cybercrime,2/16/2021 15:15,19.28323,73.180628,32,Male,4,73,Male,Neighbor,No,Pending,Kasarvadavali
Maharashtra,Thane,Thane,Cheating,4/15/2019 14:24,19.210989,73.078516,42,Female,1,52,Female,Neighbor,No,Pending,Kolshet
Maharashtra,Thane,Thane,Cheating,11/27/2021 2:08,19.269851,73.18011,32,Female,1,62,Female,Family,Yes,Pending,Kopri
Maharashtra,Thane,Thane,Murder,2/7/2021 5:42,19.159222,72.963098,59,Female,4,55,Female,Stranger,Yes,Solved,Saket
Maharashtra,Thane,Thane,Robbery,1/8/2020 7:04,19.263065,73.17771,36,Female,1,26,Male,Stranger,No,Solved,Naupada
Maharashtra,Thane,Thane,Kidnapping,11/1/2024 21:51,19.167449,73.135661,59,Female,3,33,Male,Neighbor,Yes,Pending,Brahmand
Maharashtra,Thane,Thane,Robbery,4/29/2021 0:26,19.209737,72.936784,70,Female,4,70,Female,Colleague,Yes,Solved,Wagle Estate
Maharashtra,Thane,Thane,Drug Offense,5/20/2025 12:54,19.193108,72.911248,52,Female,0,55,Male,Neighbor,No,Pending,Vartak Nagar
Maharashtra,Thane,Thane,Kidnapping,3/13/2020 7:00,19.228914,73.011868,51,Male,0,62,Male,Stranger,No,Ongoing,Vartak Nagar
Maharashtra,Thane,Thane,Theft,2/20/2020 18:34,19.296799,73.087643,54,Female,4,5,Female,Family,Yes,Solved,Majiwada
Maharashtra,Thane,Thane,Assault,4/2/2021 9:42,19.15055,73.011179,60,Female,5,12,Male,Family,Yes,Ongoing,Panchpakhadi
Maharashtra,Thane,Thane,Kidnapping,7/6/2023 4:07,19.170503,72.90712,28,Female,5,54,Female,Neighbor,No,Pending,Dhokali
Maharashtra,Thane,Thane,Fraud,4/18/2019 2:18,19.201707,73.030792,56,Male,2,34,Female,Friend,No,Ongoing,Saket
Maharashtra,Thane,Thane,Fraud,4/26/2020 16:01,19.299217,72.968816,43,Female,1,53,Female,Neighbor,No,Pending,Brahmand
Maharashtra,Thane,Thane,Drug Offense,2/1/2018 2:42,19.270945,73.07432,51,Female,3,61,Male,Friend,No,Pending,Kasarvadavali
Maharashtra,Thane,Thane,Robbery,10/26/2021 19:53,19.252696,72.984525,34,Female,5,60,Female,Friend,Yes,Pending,Vartak Nagar
Maharashtra,Thane,Thane,Theft,6/5/2024 22:18,19.2183,72.9781,55,Female,3,35,Female,Stranger,Yes,Solved,Wagle Estate
Maharashtra,Thane,Thane,Domestic Violence,1/13/2023 8:47,19.215364,73.178489,16,Female,2,73,Female,Stranger,No,Ongoing,Dhokali
Maharashtra,Thane,Thane,Domestic Violence,11/19/2022 1:30,19.208852,73.187839,49,Male,2,78,Female,Neighbor,Yes,Solved,Wagle Estate
Maharashtra,Thane,Thane,Murder,10/19/2025 18:52,19.249872,73.157833,40,Male,1,49,Male,Friend,No,Ongoing,Naupada
Maharashtra,Thane,Thane,Burglary,2/5/2023 8:31,19.2183,72.9781,18,Female,1,13,Female,Neighbor,Yes,Solved,Naupada
Maharashtra,Thane,Thane,Drug Offense,5/13/2020 12:29,19.276923,73.020133,66,Female,5,61,Male,Family,Yes,Ongoing,Patlipada
Maharashtra,Thane,Thane,Murder,11/3/2019 11:04,19.266144,73.121485,55,Male,3,73,Female,Stranger,Yes,Ongoing,Wagle Estate
Maharashtra,Thane,Thane,Cheating,9/19/2024 15:36,19.203297,73.156974,28,Male,1,28,Female,Friend,Yes,Ongoing,Majiwada
Maharashtra,Thane,Thane,Cybercrime,6/9/2021 12:26,19.191057,72.940571,53,Male,3,70,Female,Family,Yes,Ongoing,Vartak Nagar
Maharashtra,Thane,Thane,Robbery,5/24/2023 14:26,19.19212,72.962,66,Female,5,41,Female,Family,Yes,Solved,Vartak Nagar
Maharashtra,Thane,Thane,Assault,4/7/2019 17:14,19.257141,72.995609,66,Female,2,80,Male,Stranger,Yes,Ongoing,Teen Hath Naka
Maharashtra,Thane,Thane,Assault,11/26/2020 7:30,19.203275,72.917244,52,Male,1,32,Male,Stranger,Yes,Pending,Majiwada
Maharashtra,Thane,Thane,Murder,5/27/2025 19:16,19.275108,73.161865,53,Male,1,63,Male,Family,Yes,Pending,Kopri
Maharashtra,Thane,Thane,Murder,6/26/2018 21:57,19.250446,72.984362,46,Female,3,41,Female,Neighbor,Yes,Pending,Manpada
Maharashtra,Thane,Thane,Robbery,12/4/2019 9:44,19.260534,73.169355,41,Male,5,13,Male,Stranger,Yes,Pending,Kopri
Maharashtra,Thane,Thane,Theft,1/18/2019 7:40,19.232453,73.163602,68,Female,3,29,Female,Friend,No,Solved,Patlipada
Maharashtra,Thane,Thane,Domestic Violence,12/21/2024 1:14,19.170194,72.994993,35,Female,0,25,Male,Stranger,No,Ongoing,Patlipada
Maharashtra,Thane,Thane,Fraud,1/26/2018 0:47,19.270573,72.959086,24,Female,5,64,Female,Stranger,No,Pending,Dhokali
Maharashtra,Thane,Thane,Theft,8/16/2025 17:12,19.263105,73.029566,61,Female,1,66,Male,Stranger,No,Ongoing,Ghodbunder Road
Maharashtra,Thane,Thane,Cheating,5/29/2023 12:24,19.227502,72.982126,66,Male,0,61,Female,Friend,Yes,Pending,Majiwada
Maharashtra,Thane,Thane,Theft,1/11/2023 5:56,19.220434,73.021547,67,Male,0,46,Female,Friend,No,Pending,Brahmand
Maharashtra,Thane,Thane,Murder,2/14/2019 4:31,19.188281,73.036928,53,Male,3,25,Male,Family,Yes,Pending,Manpada
Maharashtra,Thane,Thane,Robbery,3/19/2025 5:53,19.297735,73.132931,69,Female,2,6,Female,Family,Yes,Solved,Manpada
Maharashtra,Thane,Thane,Theft,11/3/2025 5:19,19.246306,72.910207,45,Male,3,46,Female,Stranger,No,Solved,Dhokali
Maharashtra,Thane,Thane,Drug Offense,2/14/2023 7:48,19.22306,73.163467,68,Male,0,34,Male,Friend,No,Ongoing,Naupada
Maharashtra,Thane,Thane,Robbery,9/23/2021 9:57,19.151489,73.195072,66,Female,4,72,Female,Family,Yes,Solved,Majiwada
Maharashtra,Thane,Thane,Fraud,11/8/2023 18:27,19.169228,72.90027,48,Female,3,35,Female,Friend,No,Pending,Louis Wadi
Maharashtra,Thane,Thane,Robbery,7/11/2022 20:52,19.213531,73.029718,26,Female,3,13,Female,Stranger,Yes,Solved,Naupada
Maharashtra,Thane,Thane,Domestic Violence,11/2/2022 9:28,19.153581,73.001316,54,Male,3,56,Male,Colleague,Yes,Solved,Kopri
Maharashtra,Thane,Thane,Murder,11/4/2024 14:12,19.299779,72.956971,66,Female,5,42,Male,Stranger,No,Pending,Vartak Nagar
Maharashtra,Thane,Thane,Murder,7/7/2021 3:27,19.2183,72.9781,37,Female,1,17,Male,Colleague,No,Solved,Majiwada
Maharashtra,Thane,Thane,Domestic Violence,7/27/2020 5:25,19.293514,73.005937,34,Female,2,63,Female,Colleague,Yes,Ongoing,Manpada
Maharashtra,Thane,Thane,Robbery,6/20/2023 3:40,19.25492,72.921153,38,Female,3,12,Female,Neighbor,Yes,Pending,Naupada
Maharashtra,Thane,Thane,Robbery,1/6/2019 0:03,19.19454,73.153951,52,Male,0,66,Female,Friend,Yes,Solved,Kopri
Maharashtra,Thane,Thane,Theft,6/5/2024 22:18,19.2183,72.9781,55,Female,3,35,Female,Stranger,Yes,Solved,Ghodbunder Road
Maharashtra,Thane,Thane,Robbery,10/28/2018 9:22,19.18957,73.051164,58,Male,3,7,Male,Colleague,No,Ongoing,Panchpakhadi
Maharashtra,Thane,Thane,Kidnapping,1/27/2020 12:05,19.262292,73.047342,51,Male,0,57,Female,Family,Yes,Ongoing,Kasarvadavali
Maharashtra,Thane,Mumbai,Theft,11/12/2021 2:40,19.076,72.8777,41,Female,5,42,Female,Friend,No,Solved,Kolshet
Maharashtra,Thane,Thane,Fraud,11/22/2023 9:49,19.2183,72.9781,21,Female,4,30,Female,Family,Yes,Unsolved,Wagle Estate
Maharashtra,Thane,Thane,Assault,2/15/2020 21:19,19.168293,73.196904,18,Male,5,31,Female,Stranger,No,Solved,Brahmand
Maharashtra,Thane,Thane,Cheating,8/28/2023 10:44,19.245722,73.047859,55,Female,2,41,Male,Family,No,Pending,Saket
Maharashtra,Thane,Thane,Kidnapping,2/2/2019 17:49,19.174823,72.934897,29,Male,2,11,Male,Colleague,No,Ongoing,Brahmand
Maharashtra,Thane,Thane,Assault,11/19/2023 14:32,19.256285,72.985968,22,Female,3,30,Female,Colleague,No,Solved,Louis Wadi
Maharashtra,Thane,Thane,Murder,12/24/2025 5:00,19.212358,73.100388,46,Male,4,26,Male,Friend,No,Ongoing,Charai
Maharashtra,Thane,Thane,Assault,11/1/2024 23:01,19.175306,72.974547,21,Female,5,13,Female,Neighbor,No,Pending,Ghodbunder Road
Maharashtra,Thane,Thane,Drug Offense,1/31/2020 10:29,19.260147,72.96767,50,Female,5,60,Female,Stranger,No,Ongoing,Teen Hath Naka
Maharashtra,Thane,Thane,Kidnapping,9/23/2021 9:10,19.217209,73.008643,23,Male,1,39,Male,Colleague,Yes,Solved,Vartak Nagar
Maharashtra,Thane,Thane,Domestic Violence,11/23/2024 16:56,19.290432,73.12208,50,Male,4,62,Female,Friend,No,Solved,Patlipada
Maharashtra,Thane,Thane,Murder,5/12/2020 9:52,19.288959,72.941005,18,Female,1,71,Female,Neighbor,Yes,Pending,Kolshet
Maharashtra,Thane,Thane,Cheating,11/18/2022 0:36,19.181632,73.089888,60,Male,1,59,Male,Family,No,Solved,Brahmand
Maharashtra,Thane,Thane,Assault,1/17/2025 16:59,19.28907,72.900787,57,Male,2,12,Male,Stranger,No,Ongoing,Majiwada
Maharashtra,Thane,Thane,Murder,10/7/2018 23:58,19.227696,72.994648,43,Female,2,34,Male,Family,No,Ongoing,Wagle Estate
Maharashtra,Thane,Thane,Robbery,6/10/2021 5:54,19.259295,73.077156,45,Male,5,8,Female,Neighbor,Yes,Pending,Panchpakhadi
Maharashtra,Thane,Thane,Drug Offense,12/20/2021 8:43,19.158522,73.130761,62,Female,2,65,Female,Neighbor,Yes,Pending,Wagle Estate
Maharashtra,Thane,Thane,Theft,5/16/2023 21:26,19.22402,73.007059,35,Female,3,75,Male,Colleague,No,Pending,Dhokali
Maharashtra,Thane,Thane,Drug Offense,6/19/2023 21:11,19.25762,73.119746,23,Female,4,29,Female,Neighbor,Yes,Pending,Majiwada
Maharashtra,Thane,Thane,Cheating,5/13/2024 21:20,19.254471,73.183112,32,Female,0,52,Female,Family,No,Pending,Patlipada
Maharashtra,Thane,Thane,Domestic Violence,1/13/2022 22:50,19.282761,73.18686,32,Female,5,5,Female,Stranger,No,Pending,Brahmand
Maharashtra,Thane,Thane,Fraud,8/16/2024 6:07,19.229673,73.045715,18,Male,1,57,Male,Stranger,No,Ongoing,Kopri
Maharashtra,Thane,Thane,Theft,1/16/2023 23:10,19.279458,72.94588,26,Female,3,63,Male,Stranger,No,Solved,Ghodbunder Road
Maharashtra,Thane,Thane,Fraud,7/28/2019 4:53,19.171105,73.016466,38,Male,3,11,Female,Friend,Yes,Ongoing,Brahmand
Maharashtra,Thane,Thane,Assault,5/21/2023 23:30,19.283864,72.952833,23,Female,3,24,Male,Neighbor,Yes,Pending,Teen Hath Naka
Maharashtra,Thane,Thane,Drug Offense,12/26/2021 5:15,19.169004,73.116938,51,Female,2,31,Male,Stranger,No,Ongoing,Kasarvadavali
Maharashtra,Thane,Thane,Murder,6/21/2018 23:34,19.252968,73.047858,53,Female,1,20,Male,Neighbor,Yes,Solved,Vartak Nagar
Maharashtra,Thane,Thane,Cheating,5/23/2018 6:30,19.25045,73.023465,68,Female,2,72,Female,Stranger,No,Solved,Saket
Maharashtra,Thane,Thane,Domestic Violence,11/8/2022 6:41,19.241991,72.999665,29,Male,1,15,Male,Friend,Yes,Pending,Vartak Nagar
Maharashtra,Thane,Thane,Domestic Violence,5/31/2018 13:20,19.194772,72.99618,57,Male,2,60,Female,Stranger,No,Ongoing,Patlipada
Maharashtra,Thane,Thane,Theft,8/17/2025 8:18,19.181866,72.929107,21,Female,2,25,Female,Colleague,Yes,Pending,Teen Hath Naka
Maharashtra,Thane,Thane,Domestic Violence,7/19/2025 9:13,19.28206,73.159561,47,Male,3,5,Male,Friend,Yes,Pending,Majiwada
Maharashtra,Thane,Thane,Cybercrime,11/6/2022 21:54,19.265511,73.073454,31,Male,4,38,Male,Family,Yes,Pending,Kolshet
Maharashtra,Thane,Thane,Fraud,7/30/2018 14:39,19.194972,72.902159,50,Male,5,69,Male,Family,Yes,Pending,Wagle Estate
Maharashtra,Thane,Thane,Drug Offense,2/28/2018 5:56,19.272845,72.959905,62,Female,0,15,Male,Friend,Yes,Ongoing,Saket
Maharashtra,Thane,Thane,Domestic Violence,9/4/2021 0:53,19.235891,73.090873,30,Female,0,6,Female,Friend,Yes,Ongoing,Louis Wadi
Maharashtra,Thane,Thane,Robbery,4/7/2019 1:35,19.202407,73.112527,29,Male,0,13,Female,Family,No,Solved,Brahmand
Maharashtra,Thane,Thane,Theft,10/16/2022 2:28,19.155176,73.124834,41,Male,4,32,Male,Colleague,No,Solved,Naupada
Maharashtra,Thane,Thane,Theft,3/2/2022 11:40,19.158582,73.07494,31,Male,1,72,Female,Colleague,Yes,Pending,Naupada
Maharashtra,Thane,Thane,Drug Offense,10/9/2022 22:47,19.181656,73.000082,40,Female,5,78,Female,Colleague,Yes,Ongoing,Kasarvadavali
Maharashtra,Thane,Thane,Assault,9/23/2021 19:12,19.223176,73.077895,40,Male,2,28,Female,Neighbor,Yes,Solved,Charai
Maharashtra,Thane,Thane,Kidnapping,3/18/2018 13:39,19.20866,73.144635,50,Male,1,50,Male,Friend,No,Ongoing,Vartak Nagar
Maharashtra,Thane,Thane,Domestic Violence,9/30/2025 0:55,19.17258,73.036924,34,Female,1,64,Female,Stranger,Yes,Pending,Manpada
Maharashtra,Thane,Thane,Cheating,7/10/2025 4:07,19.241286,72.981428,63,Male,5,29,Male,Neighbor,Yes,Pending,Kopri
Maharashtra,Thane,Thane,Cheating,4/10/2022 0:35,19.200355,73.115996,68,Male,3,38,Female,Family,Yes,Solved,Kolshet
Maharashtra,Thane,Thane,Drug Offense,1/29/2019 5:33,19.224777,73.023746,21,Female,0,42,Male,Stranger,Yes,Ongoing,Wagle Estate
Maharashtra,Thane,Thane,Fraud,2/7/2023 12:54,19.2183,72.9781,57,Male,3,5,Female,Colleague,Yes,Ongoing,Kasarvadavali
Maharashtra,Thane,Thane,Fraud,8/3/2024 15:43,19.24034,72.900847,18,Female,2,31,Female,Stranger,No,Solved,Kopri
Maharashtra,Thane,Thane,Theft,4/23/2020 19:17,19.169336,73.000873,45,Female,5,46,Female,Stranger,No,Solved,Teen Hath Naka
Maharashtra,Thane,Thane,Fraud,4/3/2018 13:11,19.16119,73.016406,30,Female,3,8,Female,Stranger,Yes,Pending,Panchpakhadi
Maharashtra,Thane,Thane,Domestic Violence,1/16/2025 18:16,19.17007,72.948211,16,Female,4,9,Female,Stranger,No,Ongoing,Panchpakhadi
Maharashtra,Thane,Thane,Cheating,4/8/2025 21:29,19.275782,73.080224,49,Male,0,75,Male,Stranger,No,Ongoing,Louis Wadi
Maharashtra,Thane,Thane,Theft,3/9/2023 7:26,19.276261,73.067017,36,Male,0,5,Female,Friend,No,Solved,Wagle Estate
Maharashtra,Thane,Thane,Cybercrime,6/9/2021 7:06,19.287781,73.085616,16,Female,2,22,Male,Friend,Yes,Ongoing,Majiwada
Maharashtra,Thane,Thane,Cheating,1/8/2024 17:04,19.16944,72.984614,23,Male,1,13,Female,Stranger,Yes,Solved,Manpada
Maharashtra,Thane,Thane,Theft,5/2/2025 7:16,19.224498,73.070139,62,Female,4,23,Male,Neighbor,Yes,Pending,Kolshet
Maharashtra,Thane,Thane,Murder,9/14/2022 0:21,19.249618,73.176142,24,Male,4,76,Male,Stranger,Yes,Solved,Teen Hath Naka
Maharashtra,Thane,Thane,Drug Offense,10/16/2018 15:47,19.20697,72.966749,29,Female,5,17,Male,Friend,Yes,Pending,Naupada
Maharashtra,Thane,Thane,Burglary,2/1/2023 7:33,19.2183,72.9781,35,Female,3,23,Female,Stranger,No,Unsolved,Manpada
Maharashtra,Thane,Thane,Robbery,8/24/2019 6:55,19.255063,72.939352,19,Male,1,43,Male,Colleague,No,Ongoing,Patlipada
Maharashtra,Thane,Thane,Murder,2/26/2022 22:48,19.169702,72.944898,43,Male,1,5,Female,Neighbor,No,Ongoing,Kasarvadavali
Maharashtra,Thane,Thane,Kidnapping,1/25/2025 3:10,19.234075,73.080129,44,Male,2,63,Female,Stranger,No,Ongoing,Kopri
Maharashtra,Thane,Thane,Theft,6/16/2023 15:44,19.2183,72.9781,53,Female,1,66,Male,Stranger,No,Ongoing,Teen Hath Naka
Maharashtra,Thane,Thane,Cheating,4/17/2020 10:00,19.286982,72.981334,59,Female,2,15,Female,Colleague,Yes,Pending,Saket
Maharashtra,Thane,Thane,Cybercrime,1/24/2025 3:36,19.215304,72.97846,19,Male,4,49,Male,Family,No,Pending,Kasarvadavali
Maharashtra,Thane,Thane,Murder,12/2/2019 9:30,19.177777,73.136771,42,Female,3,75,Female,Neighbor,No,Pending,Patlipada
Maharashtra,Thane,Thane,Drug Offense,8/6/2022 10:55,19.280734,73.177922,68,Female,1,37,Male,Family,No,Ongoing,Teen Hath Naka
Maharashtra,Thane,Thane,Drug Offense,7/8/2023 22:29,19.170128,73.130902,18,Male,4,77,Male,Family,Yes,Pending,Louis Wadi
Maharashtra,Thane,Thane,Domestic Violence,12/18/2021 9:46,19.207882,73.162462,17,Female,4,56,Female,Friend,Yes,Pending,Ghodbunder Road
Maharashtra,Thane,Thane,Fraud,1/26/2019 7:34,19.199132,73.05714,48,Male,0,51,Male,Colleague,Yes,Pending,Louis Wadi
Maharashtra,Thane,Thane,Robbery,10/15/2023 10:25,19.270015,73.06501,63,Female,3,22,Female,Family,Yes,Ongoing,Naupada
Maharashtra,Thane,Mumbai,Fraud,3/21/2023 23:05,19.076,72.8777,51,Male,5,31,Male,Stranger,Yes,Ongoing,Wagle Estate
Maharashtra,Thane,Thane,Cheating,8/18/2025 7:39,19.214999,72.981318,41,Male,5,66,Female,Friend,No,Solved,Manpada
Maharashtra,Thane,Thane,Domestic Violence,9/9/2024 23:24,19.278343,72.937559,54,Female,4,47,Male,Neighbor,No,Pending,Ghodbunder Road
Maharashtra,Thane,Thane,Robbery,7/11/2020 7:55,19.269792,73.025275,59,Male,1,64,Male,Friend,No,Solved,Kopri
Maharashtra,Thane,Thane,Cybercrime,5/28/2025 18:10,19.160775,73.058422,66,Male,2,23,Female,Colleague,Yes,Solved,Naupada
Maharashtra,Thane,Thane,Kidnapping,5/15/2018 13:39,19.244135,73.063692,41,Female,5,67,Male,Family,No,Solved,Saket
Maharashtra,Thane,Thane,Drug Offense,12/16/2020 9:38,19.205328,73.159301,16,Female,4,33,Male,Family,No,Ongoing,Manpada
Maharashtra,Thane,Thane,Assault,2/26/2020 5:22,19.231464,73.181463,18,Female,2,32,Female,Family,No,Solved,Saket
Maharashtra,Thane,Thane,Fraud,9/15/2025 5:30,19.260983,73.15413,41,Female,0,28,Female,Colleague,No,Pending,Kasarvadavali
Maharashtra,Thane,Thane,Murder,9/19/2025 11:27,19.197885,72.945788,17,Male,1,6,Male,Neighbor,Yes,Pending,Charai
Maharashtra,Thane,Thane,Murder,4/13/2019 17:21,19.261697,73.177428,19,Female,5,41,Male,Colleague,Yes,Ongoing,Charai
Maharashtra,Thane,Thane,Cheating,9/25/2019 19:43,19.219236,73.195014,24,Female,2,37,Female,Colleague,No,Solved,Kasarvadavali
Maharashtra,Thane,Thane,Assault,12/30/2023 9:06,19.257026,72.918575,24,Female,2,35,Male,Neighbor,No,Ongoing,Naupada
